1,Elon Musk was born in South Africa.,"['birth_place(so, el) 1.0', 'birth_place(pr, el) 1.0']"
2,Satya Nadella was born in Hyderabad.,Evidence Not Found
3,Bill Gates was born in Seattle.,"['birth_place(se, ma) 1.0', 'birth_place(se, bi) 1.0']"
4,Mark Zuckerberg was born in New York.,"['birth_place(ne, ma) 1.0', 'birth_place(wh, ma) 1.0']"
5,Steve Jobs was born in San Fransisco.,Evidence Not Found
6,Barack Obama was born in Hawaii.,"['birth_place(ka, ba) 1.0', 'birth_place(ho, ba) 1.0']"
7,Jack Ma was born in Hangzhou.,"['birth_place(ha, ja) 1.0', 'birth_place(zh, ja) 1.0']"
8,Larry Page was born in Michigan.,"['birth_place(mi, la) 1.0', 'birth_place(ea, la) 1.0']"
9,Paul Allen was born in Seattle.,[]
10,Steve Wozniak was born in San Jose.,Evidence Not Found
11,Tom Hanks was born in Concord.,Evidence Not Found
12,George Clooney was born in Lexington.,Evidence Not Found
13,Ben Affleck was born in Berkeley.,Evidence Not Found
14,Al Pacino was born in Manhattan.,"['birth_place(ma, al) 1.0', 'birth_place(ne, al) 1.0']"
15,Johnny Depp was born in Owensboro.,Evidence Not Found
16,Tim Berners-Lee was born in London.,"['birth_place(en, ti) 1.0']"
17,Noam Chomsky was born in Philadelphia.,"['birth_place(pe, no) 1.0', 'birth_place(ea, no) 1.0', 'birth_place(ph, ca) 1.0', 'birth_place(ph, no) 1.0']"
18,Donald Trump was born in New York City.,"['birth_place(ne, ti) 1.0', 'birth_place(ne, do) 1.0', 'birth_place(qu, do1) 1.0', 'birth_place(ne, do1) 1.0', 'birth_place(ne, er) 1.0', 'birth_place(ne, iv) 1.0']"
19,Stephen Cook was born in Buffalo.,Evidence Not Found
20,Neil Tyson was born in Manhattan.,"['birth_place(ma, ne1) 1.0', 'birth_place(ne, ne1) 1.0']"
21,Ernest Rutherford was born in New Zealand.,"['birth_place(br, er) 1.0']"
22,Satya Nadella was born in South Africa.,[]
23,Elon Musk was born in Seattle.,Evidence Not Found
24,Mark Zuckerberg was born in Seattle.,Evidence Not Found
25,Bill Gates was born in New York.,Evidence Not Found
26,Barack Obama was born in San Fransisco.,[]
27,Steve Jobs was born in Hawaii.,[]
28,Larry Page was born in Michigan.,"['birth_place(mi, la) 1.0', 'birth_place(ea, la) 1.0']"
29,Jack Ma was born in Michigan.,Evidence Not Found
30,Steve Wozniak was born in Seattle.,Evidence Not Found
31,Paul Allen was born in San Jose.,Evidence Not Found
32,Tom Hanks was born in Lexington.,[]
33,George Clooney was born in Concord.,Evidence Not Found
34,Ben Affleck was born in Manhattan.,Evidence Not Found
35,Al Pacino was born in Berkeley.,Evidence Not Found
36,Johnny Depp was born in London.,Evidence Not Found
37,Tim Berners-Lee was born in Owensboro.,Evidence Not Found
38,Noam Chomsky was born in New York City.,[]
39,Donald Trump was born in Philadelphia.,"['birth_place(ph, do) 1.0']"
40,Stephen Cook was born in Manhattan.,Evidence Not Found
41,Neil Tyson was born in Buffalo.,Evidence Not Found
