id,sentence,label
1,"Elon Musk was born in South Africa.",T
2,"Satya Nadella was born in India.",T
3,"Bill Gates was born in Seattle.",T
4,"Mark Zuckerberg was born in New York.",T
5,"Steve Jobs was born in San Fransisco.",T
6,"Barack Obama was born in Hawaii.",T
7,"Jack Ma was born in China.",T
8,"Larry Page was born in Michigan.",T
9,"Paul Allen was born in Seattle.",T
10,"Steve Wozniak was born in San Jose.",T
11,"Tom Hanks was born in Concord.",T
12,"George Clooney was born in Lexington.",T
13,"Ben Affleck was born in Berkeley.",T
14,"Al Pacino was born in Manhattan.",T
15,"Johnny Depp was born in Owensboro.",T
16,"Tim Berners-Lee was born in London.",T
17,"Noam Chomsky was born in Philadelphia.",T
18,"Donald Trump was born in New York City.",T
19,"Stephen Cook was born in Buffalo.",T
20,"Neil Tyson was born in Manhattan.",T
21,"Ernest Rutherford was born in New Zealand.",T
1,"Satya Nadella was born in South Africa.",F
2,"Elon Musk was born in India.",F
3,"Mark Zuckerberg was born in Seattle.",F
4,"Bill Gates was born in New York.",F
5,"Barack Obama was born in San Fransisco.",F
6,"Steve Jobs was born in Hawaii.",F
7,"Larry Page was born in China.",F
8,"Jack Ma was born in Michigan.",F
9,"Steve Wozniak was born in Seattle.",F
10,"Paul Allen was born in San Jose.",F
11,"Tom Hanks was born in Lexington.",F
12,"George Clooney was born in Concord.",F
13,"Ben Affleck was born in Manhattan.",F
14,"Al Pacino was born in Berkeley.",F
15,"Johnny Depp was born in London.",F
16,"Tim Berners-Lee was born in Owensboro.",F
17,"Noam Chomsky was born in New York City.",F
18,"Donald Trump was born in Philadelphia.",F
19,"Stephen Cook was born in Manhattan.",F
20,"Neil Tyson was born in Buffalo.",F
