Russell_Simmons,City_College_of_New_York
Jerry_Springer,Tulane_University
Jack_Thompson_(activist),Vanderbilt_University
Arianna_Huffington,"Girton_College,_Cambridge"
Andrew_Ross_Sorkin,Cornell_University
William_Donald_Schaefer,University_of_Baltimore
Ted_Turner,Brown_University
Ron_Paul,Duke_University_School_of_Medicine
Barron_Hilton,University_of_Southern_California
Anderson_Cooper,Yale_University
David_Boies,New_York_University_School_of_Law
Melinda_Gates,Duke_University
Billy_Bush,Colby_College
Jack_Thompson_(activist),Denison_University
David_Boies,Yale_Law_School
Michael_Bloomberg,Johns_Hopkins_University
Bob_Dole,University_of_Kansas
Jerry_Springer,Northwestern_University
David_Boies,Northwestern_University
Bob_Dole,University_of_Arizona
Michael_Bloomberg,Harvard_Business_School
"Donald_Wills_Douglas,_Sr.",Massachusetts_Institute_of_Technology
