James_Carville,Louisiana_State_University
Jacques_Chirac,Sciences_Po
Dick_Gephardt,University_of_Michigan_Law_School
Ron_Paul,Gettysburg_College
Arianna_Huffington,"Girton_College,_Cambridge"
Lyndon_B._Johnson,Texas_State_University
Eunice_Kennedy_Shriver,Stanford_University
Vicente_Fox,Universidad_Iberoamericana
Ron_Paul,Duke_University_School_of_Medicine
Oprah_Winfrey,Tennessee_State_University
Sonia_Sotomayor,Princeton_University
Melinda_Gates,Duke_University
Michael_Bennet,Yale_Law_School
Bob_Dole,Washburn_University
Richard_M._Daley,Providence_College
Vicente_Fox,Harvard_Business_School
Spiro_Agnew,Johns_Hopkins_University
Benjamin_Harrison,Miami_University
Bob_Dole,University_of_Kansas
Richard_M._Daley,DePaul_University
Timothy_Geithner,Paul_H._Nitze_School_of_Advanced_International_Studies
John_B._Anderson,University_of_Illinois_College_of_Law
Robert_Gates,College_of_William_&_Mary
William_Howard_Taft,University_of_Cincinnati_College_of_Law
Thomas_R._Marshall,Wabash_College
Walter_Mondale,University_of_Minnesota_Law_School
Glenn_Close,College_of_William_&_Mary
Michael_Bennet,Wesleyan_University
Walter_Mondale,Macalester_College
Timothy_Geithner,Dartmouth_College
Spiro_Agnew,University_of_Baltimore_School_of_Law
Dick_Gephardt,Northwestern_University
Bob_Dole,University_of_Arizona
John_McCain,United_States_Naval_Academy
Christine_O'Donnell,Fairleigh_Dickinson_University
Sonia_Sotomayor,Yale_Law_School
Robert_Gates,Indiana_University_Bloomington
Robert_Gates,Georgetown_University
