Ben_Silverman,Tufts_University
Frank_Drake,Harvard_University
John_Carpenter,University_of_Southern_California
Steve_Ballmer,Harvard_College
Gary_Becker,University_of_Chicago
Seymour_Cray,University_of_Minnesota
Arianna_Huffington,"Girton_College,_Cambridge"
Benjamin_Spock,Columbia_University
Lawrence_Lessig,Yale_Law_School
John_Carpenter,Western_Kentucky_University
Thabo_Mbeki,University_of_Sussex
Bruce_Schneier,University_of_Rochester
Ted_Turner,Brown_University
Jane_Goodall,"Newnham_College,_Cambridge"
James_Gosling,University_of_Calgary
Lynn_Margulis,University_of_Chicago
David_Boies,New_York_University_School_of_Law
Melinda_Gates,Duke_University
Chris_Wedge,State_University_of_New_York_at_Purchase
Chris_Wedge,Ohio_State_University
Robert_Tarjan,California_Institute_of_Technology
Steve_Ballmer,Stanford_Graduate_School_of_Business
Frank_Drake,Cornell_University
David_Boies,Yale_Law_School
Bruce_Schneier,American_University
Jonathan_Nolan,Georgetown_University
Ted_Nelson,Keio_University
Ward_Cunningham,Purdue_University
Stephen_Cook,Harvard_University
Jane_Goodall,"Darwin_College,_Cambridge"
Steven_Pinker,Dawson_College
Stephen_Cook,University_of_Michigan
Steven_Pinker,Harvard_University
Gary_Becker,Princeton_University
Thabo_Mbeki,University_of_London
Ted_Nelson,Swarthmore_College
Robert_Tarjan,Stanford_University
Ted_Nelson,Harvard_University
Shawn_Fanning,Northeastern_University
Vint_Cerf,Stanford_University
David_Boies,Northwestern_University
Benjamin_Spock,Yale_University
Abbie_Hoffman,Brandeis_University
Timothy_Leary,Washington_State_University
Christopher_Wren,University_of_Oxford
James_Gosling,Carnegie_Mellon_University
Timothy_Leary,University_of_Alabama
John_Seely_Brown,Brown_University
Abbie_Hoffman,"University_of_California,_Berkeley"
Steven_Pinker,McGill_University
Alan_Cox,Swansea_University
