194749,91088
395721,25891
1314669,158852
451364,42748
1767646,7417
1162700,247105
248355,41599
173042,43182
552965,21716
483759,36714
260608,28217
507975,1481
1485623,296
507975,4905
506482,16416
173042,34895
194749,168517
1744215,84740
1298399,53494
1778846,44934
98327,36714
84160,25891
1744215,23425
84160,12278
35636,251435
749187,6331
16819,78658
1162700,434799
1889271,1319662
563872,34895
82864,34895
1070167,182958
196096,12568
395721,16416
1070167,36938
28222,12568
563872,12551
1744215,35425
763288,1483
552965,36938
763288,24982
1744215,24982
194749,16416
98327,13217
3008283,264701
1889271,36127
