Shimon_Peres,The_New_School
Jacques_Chirac,Sciences_Po
Helmut_Kohl,Heidelberg_University
Gary_Condit,Modesto_Junior_College
James_A._Garfield,Hiram_College
Lyndon_B._Johnson,Texas_State_University
Chen_Shui-bian,National_Taiwan_University
Michael_Bloomberg,Johns_Hopkins_University
Gary_Condit,University_of_Southern_California
Eunice_Kennedy_Shriver,Stanford_University
Bob_Dole,Washburn_University
Tom_Daschle,South_Dakota_State_University
Ted_Turner,Brown_University
Aaron_Burr,Princeton_University
Benjamin_Netanyahu,Harvard_University
Vicente_Fox,Harvard_Business_School
Ernest_Hollings,University_of_South_Carolina_School_of_Law
David_Boies,New_York_University_School_of_Law
Melinda_Gates,Duke_University
Lee_Teng-hui,Iowa_State_University
Tarja_Halonen,University_of_Helsinki
David_Boies,Yale_Law_School
James_M._Buchanan,Middle_Tennessee_State_University
Spiro_Agnew,Johns_Hopkins_University
Helmut_Schmidt,University_of_Hamburg
James_M._Buchanan,University_of_Chicago
Bob_Dole,University_of_Kansas
Strom_Thurmond,Clemson_University
Carl_Bildt,Stockholm_University
Ernest_Hollings,"The_Citadel,_The_Military_College_of_South_Carolina"
James_M._Buchanan,University_of_Tennessee
Wendell_Willkie,Indiana_University_Bloomington
John_B._Anderson,University_of_Illinois_College_of_Law
Thomas_R._Marshall,Wabash_College
Thabo_Mbeki,University_of_London
Lee_Teng-hui,National_Taiwan_University
Hubert_Humphrey,University_of_Minnesota
Urho_Kekkonen,University_of_Helsinki
David_Boies,Northwestern_University
Bob_Dole,University_of_Arizona
John_McCain,United_States_Naval_Academy
William_Jennings_Bryan,Illinois_College
Adlai_Stevenson_II,Princeton_University
James_A._Garfield,Williams_College
Michael_Bloomberg,Harvard_Business_School
Pascal_Lissouba,University_of_Paris
Hubert_Humphrey,Louisiana_State_University
Lee_Teng-hui,Cornell_University
