Loading files... 
  Starting company_founder_unique_3.tsv
  Finished company_founder_unique_3.tsv, still running: 0
Loaded 65587 facts in 0.26 s using -82 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  board  ?a   => ?a  founders  ?b	0.021276596	0.076923077	0.25	1	13	4	?b	0.0	0.0	0.0
?b  boards  ?a   => ?a  founders  ?b	0.021276596	0.047619048	0.166666667	1	21	6	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founders  ?b	0.212765957	0.12345679	0.769230769	10	81	13	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founders  ?b	0.170212766	0.068965517	0.615384615	8	116	13	?b	0.0	0.0	0.0
?a  owner  ?b   => ?a  founders  ?b	0.042553191	0.058823529	0.4	2	34	5	?b	0.0	0.0	0.0
?a  owning_company  ?b   => ?a  founders  ?b	0.042553191	0.4	0.666666667	2	5	3	?b	0.0	0.0	0.0
?b  known_for  ?a   => ?a  founders  ?b	0.14893617	0.170731707	0.291666667	7	41	24	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founders  ?b	0.446808511	0.308823529	0.913043478	21	68	23	?b	0.0	0.0	0.0
?a  industry  ?b   => ?a  founders  ?b	0.021276596	0.009803922	0.25	1	102	4	?b	0.0	0.0	0.0
?b  salary  ?a   => ?a  founders  ?b	0.021276596	0.041666667	0.166666667	1	24	6	?b	0.0	0.0	0.0
?a  traded_as  ?b   => ?a  founders  ?b	0.021276596	0.029411765	1	1	34	1	?b	0.0	0.0	0.0
?a  products  ?b   => ?a  founders  ?b	0.042553191	0.014705882	0.666666667	2	136	3	?b	0.0	0.0	0.0
?a  services  ?b   => ?a  founders  ?b	0.021276596	0.023255814	0.5	1	43	2	?b	0.0	0.0	0.0
?a  subsid  ?b   => ?a  founders  ?b	0.021276596	0.03030303	0.5	1	33	2	?b	0.0	0.0	0.0
?b  board  ?a  ?a  key_people  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  board  ?a  ?a  founded_by  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  board  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.021276596	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?b  boards  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.021276596	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?b  known_for  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.021276596	0.333333333	0.5	1	3	2	?b	0.0	0.0	0.0
?a  key_people  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.042553191	0.142857143	0.666666667	2	14	3	?b	0.0	0.0	0.0
?b  boards  ?a  ?a  key_people  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.106382979	0.714285714	0.833333333	5	7	6	?b	0.0	0.0	0.0
?b  known_for  ?a  ?a  owner  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  known_for  ?a  ?a  owning_company  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  known_for  ?a  ?b  salary  ?a   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  owning_company  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  owner  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  salary  ?a   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  salary  ?a   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  owner  ?b  ?b  salary  ?a   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  owning_company  ?b  ?b  salary  ?a   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  key_person  ?b  ?a  owning_company  ?b   => ?a  founders  ?b	0.042553191	1	1	2	2	2	?b	0.0	0.0	0.0
?a  key_person  ?b  ?a  owner  ?b   => ?a  founders  ?b	0.042553191	1	1	2	2	2	?b	0.0	0.0	0.0
?a  key_people  ?b  ?a  products  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  key_people  ?b  ?a  services  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  key_people  ?b  ?a  subsid  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  birth_place  ?f  ?a  location_city  ?f   => ?a  founders  ?b	0.085106383	0.035087719	0.114285714	4	114	35	?b	0.0	0.0	0.0
?b  boards  ?a  ?a  founded_by  ?b   => ?a  founders  ?b	0.021276596	0.333333333	1	1	3	1	?b	0.0	0.0	0.0
?b  birth_place  ?f  ?a  headquarters  ?f   => ?a  founders  ?b	0.063829787	0.028571429	0.125	3	105	24	?b	0.0	0.0	0.0
?a  key_people  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.042553191	0.666666667	0.666666667	2	3	3	?b	0.0	0.0	0.0
?a  services  ?b  ?a  subsid  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?a  products  ?b  ?a  subsid  ?b   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  alma_mater  ?f  ?a  products  ?f   => ?a  founders  ?b	0.021276596	0.166666667	0.333333333	1	6	3	?b	0.0	0.0	0.0
?b  alma_mater  ?f  ?a  key_people  ?f   => ?a  founders  ?b	0.021276596	0.25	0.5	1	4	2	?b	0.0	0.0	0.0
?b  alma_mater  ?f  ?a  services  ?f   => ?a  founders  ?b	0.021276596	0.25	0.5	1	4	2	?b	0.0	0.0	0.0
?b  alma_mater  ?f  ?a  founders  ?f   => ?a  founders  ?b	0.021276596	0.125	0.25	1	8	4	?b	0.0	0.0	0.0
?b  occupation  ?f  ?a  subsid  ?f   => ?a  founders  ?b	0.021276596	0.2	0.5	1	5	2	?b	0.0	0.0	0.0
?a  key_people  ?f  ?b  occupation  ?f   => ?a  founders  ?b	0.021276596	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?b  occupation  ?f  ?a  services  ?f   => ?a  founders  ?b	0.021276596	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  occupation  ?f   => ?a  founders  ?b	0.021276596	0.142857143	0.25	1	7	4	?b	0.0	0.0	0.0
?b  occupation  ?f  ?a  subsidiary  ?f   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  occupation  ?f  ?a  products  ?f   => ?a  founders  ?b	0.021276596	0.25	0.333333333	1	4	3	?b	0.0	0.0	0.0
?b  children  ?f  ?a  products  ?f   => ?a  founders  ?b	0.021276596	0.333333333	0.333333333	1	3	3	?b	0.0	0.0	0.0
?b  children  ?f  ?a  key_people  ?f   => ?a  founders  ?b	0.021276596	0.166666667	0.5	1	6	2	?b	0.0	0.0	0.0
?b  children  ?f  ?a  services  ?f   => ?a  founders  ?b	0.021276596	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?b  children  ?f  ?a  subsid  ?f   => ?a  founders  ?b	0.021276596	1	1	1	1	1	?b	0.0	0.0	0.0
?b  children  ?f  ?a  founders  ?f   => ?a  founders  ?b	0.021276596	0.125	0.25	1	8	4	?b	0.0	0.0	0.0
?f  occupation  ?a  ?b  spouse  ?f   => ?a  founders  ?b	0.042553191	0.040816327	0.1	2	49	20	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  spouse  ?f   => ?a  founders  ?b	0.085106383	0.19047619	0.363636364	4	21	11	?b	0.0	0.0	0.0
?a  products  ?f  ?b  spouse  ?f   => ?a  founders  ?b	0.021276596	0.111111111	0.166666667	1	9	6	?b	0.0	0.0	0.0
