Loading files... 
  Starting company_founder_founders_unique_full.tsv
  Finished company_founder_founders_unique_full.tsv, still running: 0
Loaded 783515 facts in 5.53 s using 447 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  employer  ?a   => ?a  founders  ?b	0.022304833	0.02189781	0.52173913	12	548	23	?b	0.0	0.0	0.0
?b  known_for  ?a   => ?a  founders  ?b	0.076208178	0.028571429	0.254658385	41	1435	161	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founders  ?b	0.117100372	0.074292453	0.35	63	848	180	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founders  ?b	0.089219331	0.050632911	0.403361345	48	948	119	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founders  ?b	0.172862454	0.19214876	0.574074074	93	484	162	?b	0.0	0.0	0.0
?a  staff  ?b   => ?a  founders  ?b	0.011152416	0.033519553	0.375	6	179	16	?b	0.0	0.0	0.0
?a  owning_company  ?b   => ?a  founders  ?b	0.016728625	0.013931889	0.36	9	646	25	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.029739777	0.444444444	0.761904762	16	36	21	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.020446097	0.297297297	0.846153846	11	37	13	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.037174721	0.476190476	0.666666667	20	42	30	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.026022305	0.166666667	0.736842105	14	84	19	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  key_person  ?b   => ?a  founders  ?b	0.048327138	0.366197183	0.722222222	26	71	36	?b	0.0	0.0	0.0
?a  key_people  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.018587361	0.166666667	0.666666667	10	60	15	?b	0.0	0.0	0.0
