Loading files... 
  Starting company_founder_full.tsv
  Finished company_founder_full.tsv, still running: 0
Loaded 12776 facts in 0.19 s using -66 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  board  ?a   => ?a  founded_by  ?b	0.2	0.125	0.125	1	8	8	?a	0.0	0.0	0.0
?b  occupation  ?a   => ?a  founded_by  ?b	0.6	0.06122449	0.15	3	49	20	?a	0.0	0.0	0.0
?a  founder  ?b   => ?a  founded_by  ?b	0.6	0.75	1	3	4	3	?a	0.0	0.0	0.0
?a  founders  ?b   => ?a  founded_by  ?b	0.4	0.5	1	2	4	2	?a	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founded_by  ?b	0.2	0.071428571	0.2	1	14	5	?a	0.0	0.0	0.0
?b  boards  ?a   => ?a  founded_by  ?b	0.2	0.111111111	0.111111111	1	9	9	?a	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founded_by  ?b	0.4	0.086956522	0.222222222	2	23	9	?a	0.0	0.0	0.0
?b  board  ?a   => ?a  founders  ?b	0.25	0.125	0.5	1	8	2	?b	0.0	0.0	0.0
?b  occupation  ?a   => ?a  founders  ?b	1	0.081632653	0.2	4	49	20	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founders  ?b	0.25	0.043478261	0.5	1	23	2	?b	0.0	0.0	0.0
?b  boards  ?a   => ?a  founders  ?b	0.25	0.111111111	0.5	1	9	2	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founders  ?b	0.5	0.4	0.666666667	2	5	3	?b	0.0	0.0	0.0
?b  occupation  ?a   => ?a  founder  ?b	0.25	0.020408163	1	1	49	1	?a	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founder  ?b	0.75	0.6	1	3	5	3	?a	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founder  ?b	0.25	0.043478261	0.2	1	23	5	?a	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founder  ?b	0.25	0.071428571	0.25	1	14	4	?a	0.0	0.0	0.0
?b  board  ?a  ?a  key_people  ?b   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?b  board  ?a  ?b  occupation  ?a   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?b  board  ?a  ?b  boards  ?a   => ?a  founded_by  ?b	0.2	0.142857143	0.142857143	1	7	7	?a	0.0	0.0	0.0
?a  key_people  ?b  ?b  occupation  ?a   => ?a  founded_by  ?b	0.4	0.5	0.5	2	4	4	?a	0.0	0.0	0.0
?b  boards  ?a  ?b  occupation  ?a   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?a  key_person  ?b  ?b  occupation  ?a   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?b  boards  ?a  ?a  key_people  ?b   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?b  name  ?f  ?f  occupation  ?a   => ?a  founded_by  ?b	0.6	0.081081081	0.5	3	37	6	?a	0.0	0.0	0.0
?a  founded_by  ?f  ?b  name  ?f   => ?a  founded_by  ?b	0.6	1	1	3	3	3	?a	0.0	0.0	0.0
?a  founders  ?f  ?b  name  ?f   => ?a  founded_by  ?b	0.4	0.5	1	2	4	2	?a	0.0	0.0	0.0
?f  boards  ?a  ?b  name  ?f   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?f  board  ?a  ?b  name  ?f   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?a  founder  ?f  ?b  name  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?a  key_people  ?f  ?b  name  ?f   => ?a  founded_by  ?b	0.4	0.4	0.4	2	5	5	?a	0.0	0.0	0.0
?a  key_person  ?f  ?b  name  ?f   => ?a  founded_by  ?b	0.2	0.333333333	0.333333333	1	3	3	?a	0.0	0.0	0.0
?f  display  ?a  ?b  occupation  ?f   => ?a  founded_by  ?b	0.4	0.105263158	0.105263158	2	19	19	?a	0.0	0.0	0.0
?a  display  ?f  ?b  occupation  ?f   => ?a  founded_by  ?b	0.4	0.105263158	0.105263158	2	19	19	?a	0.0	0.0	0.0
?b  birth_place  ?f  ?a  foundation  ?f   => ?a  founded_by  ?b	0.2	0.25	0.25	1	4	4	?a	0.0	0.0	0.0
?b  birth_place  ?f  ?a  foundation_place  ?f   => ?a  founded_by  ?b	0.2	0.25	0.25	1	4	4	?a	0.0	0.0	0.0
?b  birth_place  ?f  ?a  location_city  ?f   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?b  boards  ?f  ?f  display  ?a   => ?a  founded_by  ?b	0.2	0.125	0.125	1	8	8	?a	0.0	0.0	0.0
?b  boards  ?f  ?a  display  ?f   => ?a  founded_by  ?b	0.2	0.125	0.125	1	8	8	?a	0.0	0.0	0.0
?b  active_years_start_year  ?f  ?a  founding_year  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?b  board  ?f  ?a  display  ?f   => ?a  founded_by  ?b	0.2	0.142857143	0.142857143	1	7	7	?a	0.0	0.0	0.0
?b  board  ?f  ?f  display  ?a   => ?a  founded_by  ?b	0.2	0.142857143	0.142857143	1	7	7	?a	0.0	0.0	0.0
?b  display  ?f  ?a  founded_by  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?b  display  ?f  ?a  founder  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?f  display  ?b  ?a  founded_by  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?a  founded_by  ?f  ?f  name  ?b   => ?a  founded_by  ?b	0.6	0.75	0.75	3	4	4	?a	0.0	0.0	0.0
?f  before  ?b  ?a  key_person  ?f   => ?a  founded_by  ?b	0.2	0.2	1	1	5	1	?a	0.0	0.0	0.0
?a  key_person  ?f  ?f  name  ?b   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?a  key_people  ?f  ?f  name  ?b   => ?a  founded_by  ?b	0.4	0.4	0.4	2	5	5	?a	0.0	0.0	0.0
?f  before  ?b  ?a  key_people  ?f   => ?a  founded_by  ?b	0.2	0.25	0.5	1	4	2	?a	0.0	0.0	0.0
?f  founded_by  ?b  ?a  name  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?f  founder  ?b  ?a  name  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?f  display  ?b  ?a  founder  ?f   => ?a  founded_by  ?b	0.2	1	1	1	1	1	?a	0.0	0.0	0.0
?a  founder  ?f  ?f  name  ?b   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?a  display  ?f  ?f  founded_by  ?b   => ?a  founded_by  ?b	0.4	1	1	2	2	2	?a	0.0	0.0	0.0
?a  display  ?f  ?f  founders  ?b   => ?a  founded_by  ?b	0.4	1	1	2	2	2	?a	0.0	0.0	0.0
?a  display  ?f  ?f  key_people  ?b   => ?a  founded_by  ?b	0.2	0.25	0.25	1	4	4	?a	0.0	0.0	0.0
?a  founders  ?f  ?f  name  ?b   => ?a  founded_by  ?b	0.4	0.5	1	2	4	2	?a	0.0	0.0	0.0
?e  founder  ?b  ?e  name  ?a   => ?a  founded_by  ?b	0.2	0.333333333	1	1	3	1	?a	0.0	0.0	0.0
?e  display  ?a  ?e  founded_by  ?b   => ?a  founded_by  ?b	0.4	1	1	2	2	2	?a	0.0	0.0	0.0
?e  founded_by  ?b  ?e  name  ?a   => ?a  founded_by  ?b	0.2	0.2	1	1	5	1	?a	0.0	0.0	0.0
?e  name  ?b  ?e  occupation  ?a   => ?a  founded_by  ?b	0.6	0.088235294	0.5	3	34	6	?a	0.0	0.0	0.0
?e  boards  ?a  ?e  name  ?b   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?e  board  ?a  ?e  name  ?b   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?e  display  ?a  ?e  founders  ?b   => ?a  founded_by  ?b	0.4	1	1	2	2	2	?a	0.0	0.0	0.0
?e  before  ?b  ?e  occupation  ?a   => ?a  founded_by  ?b	0.2	0.111111111	0.5	1	9	2	?a	0.0	0.0	0.0
?e  designer  ?b  ?e  developer  ?a   => ?a  founded_by  ?b	0.2	0.5	0.5	1	2	2	?a	0.0	0.0	0.0
?e  display  ?a  ?e  key_people  ?b   => ?a  founded_by  ?b	0.2	0.25	0.25	1	4	4	?a	0.0	0.0	0.0
?b  board  ?a  ?a  key_people  ?b   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?b  board  ?a  ?a  founded_by  ?b   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?b  board  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?b  boards  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?b  boards  ?a  ?a  key_people  ?b   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?b  boards  ?a  ?a  founded_by  ?b   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?f  display  ?a  ?b  occupation  ?f   => ?a  founders  ?b	0.5	0.105263158	1	2	19	2	?b	0.0	0.0	0.0
?a  display  ?f  ?b  occupation  ?f   => ?a  founders  ?b	0.5	0.105263158	1	2	19	2	?b	0.0	0.0	0.0
?f  name  ?a  ?b  occupation  ?f   => ?a  founders  ?b	0.5	0.083333333	0.333333333	2	24	6	?b	0.0	0.0	0.0
?a  name  ?f  ?b  occupation  ?f   => ?a  founders  ?b	0.5	0.666666667	1	2	3	2	?b	0.0	0.0	0.0
?b  birth_place  ?f  ?a  foundation  ?f   => ?a  founders  ?b	0.25	0.25	0.5	1	4	2	?b	0.0	0.0	0.0
?b  birth_place  ?f  ?a  headquarters  ?f   => ?a  founders  ?b	0.5	0.333333333	0.666666667	2	6	3	?b	0.0	0.0	0.0
?b  birth_place  ?f  ?a  foundation_place  ?f   => ?a  founders  ?b	0.25	0.25	0.5	1	4	2	?b	0.0	0.0	0.0
?f  board  ?a  ?b  name  ?f   => ?a  founders  ?b	0.25	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?b  name  ?f  ?f  occupation  ?a   => ?a  founders  ?b	1	0.108108108	0.2	4	37	20	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  name  ?f   => ?a  founders  ?b	1	1	1	4	4	4	?b	0.0	0.0	0.0
?f  boards  ?a  ?b  name  ?f   => ?a  founders  ?b	0.25	0.5	0.5	1	2	2	?b	0.0	0.0	0.0
?a  key_people  ?f  ?b  name  ?f   => ?a  founders  ?b	0.25	0.2	0.5	1	5	2	?b	0.0	0.0	0.0
?a  founded_by  ?f  ?b  name  ?f   => ?a  founders  ?b	0.5	0.666666667	0.666666667	2	3	3	?b	0.0	0.0	0.0
?f  occupation  ?a  ?b  spouse  ?f   => ?a  founders  ?b	0.5	0.117647059	0.133333333	2	17	15	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  spouse  ?f   => ?a  founders  ?b	0.5	0.666666667	0.666666667	2	3	3	?b	0.0	0.0	0.0
?b  board  ?f  ?f  display  ?a   => ?a  founders  ?b	0.25	0.142857143	1	1	7	1	?b	0.0	0.0	0.0
?b  board  ?f  ?a  display  ?f   => ?a  founders  ?b	0.25	0.142857143	1	1	7	1	?b	0.0	0.0	0.0
?b  active_years_start_year  ?f  ?a  founding_year  ?f   => ?a  founders  ?b	0.25	1	1	1	1	1	?b	0.0	0.0	0.0
?b  boards  ?f  ?f  display  ?a   => ?a  founders  ?b	0.25	0.125	1	1	8	1	?b	0.0	0.0	0.0
?b  boards  ?f  ?a  display  ?f   => ?a  founders  ?b	0.25	0.125	1	1	8	1	?b	0.0	0.0	0.0
?a  founders  ?f  ?f  name  ?b   => ?a  founders  ?b	1	1	1	4	4	4	?b	0.0	0.0	0.0
?a  founders  ?f  ?f  spouse  ?b   => ?a  founders  ?b	0.5	0.4	0.666666667	2	5	3	?b	0.0	0.0	0.0
