Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  salary  ?a   => ?a  founders  ?b	0.041666667	0.142857143	1	1	7	1	?a	0	0	0
?a  founded_by  ?b   => ?a  founders  ?b	0.416666667	0.322580645	1	10	31	10	?a	0	0	0
?a  owning_company  ?b   => ?a  founders  ?b	0.083333333	0.060606061	1	2	33	2	?a	0	0	0
?a  owner  ?b   => ?a  founders  ?b	0.083333333	0.007936508	1	2	252	2	?a	0	0	0
?b  board  ?a  ?a  key_people  ?b   => ?a  founders  ?b	0.041666667	1	1	1	1	1	?a	0	0	0
?b  board  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.041666667	0.5	1	1	2	1	?a	0	0	0
?b  boards  ?a  ?a  key_people  ?b   => ?a  founders  ?b	0.041666667	1	1	1	1	1	?a	0	0	0
?b  boards  ?a  ?b  occupation  ?a   => ?a  founders  ?b	0.041666667	0.5	1	1	2	1	?a	0	0	0
?b  active_years_start_year  ?f  ?a  founding_year  ?f   => ?a  founders  ?b	0.041666667	1	1	1	1	1	?a	0	0	0
?a  key_person  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.166666667	0.8	1	4	5	4	?a	0	0	0
?f  before  ?b  ?a  key_person  ?f   => ?a  founders  ?b	0.041666667	0.25	1	1	4	1	?a	0	0	0
?f  before  ?b  ?a  key_people  ?f   => ?a  founders  ?b	0.041666667	0.5	1	1	2	1	?a	0	0	0
?f  founded_by  ?b  ?a  subsid  ?f   => ?a  founders  ?b	0.083333333	0.4	1	2	5	2	?a	0	0	0
?f  key_person  ?b  ?a  subsid  ?f   => ?a  founders  ?b	0.041666667	0.25	1	1	4	1	?a	0	0	0
?f  founded_by  ?b  ?a  predecessor  ?f   => ?a  founders  ?b	0.083333333	1	1	2	2	2	?a	0	0	0
?f  key_person  ?b  ?a  predecessor  ?f   => ?a  founders  ?b	0.041666667	0.5	1	1	2	1	?a	0	0	0
?e  founders  ?b  ?e  subsid  ?a   => ?a  founders  ?b	0.083333333	0.285714286	1	2	7	2	?a	0	0	0
?e  founders  ?b  ?e  predecessor  ?a   => ?a  founders  ?b	0.083333333	1	1	2	2	2	?a	0	0	0
?e  key_people  ?b  ?e  owner  ?a   => ?a  founders  ?b	0.083333333	1	1	2	2	2	?a	0	0	0
?e  notable_student  ?b  ?e  workplaces  ?a   => ?a  founders  ?b	0.083333333	1	1	2	2	2	?a	0	0	0
?e  notable_students  ?b  ?e  workplaces  ?a   => ?a  founders  ?b	0.083333333	1	1	2	2	2	?a	0	0	0
?e  ceo  ?b  ?e  owner  ?a   => ?a  founders  ?b	0.041666667	1	1	1	1	1	?a	0	0	0
?e  before  ?b  ?e  occupation  ?a   => ?a  founders  ?b	0.041666667	0.058823529	1	1	17	1	?a	0	0	0
?e  key_people  ?b  ?e  subsid  ?a   => ?a  founders  ?b	0.083333333	0.125	1	2	16	2	?a	0	0	0
?e  key_people  ?b  ?e  predecessor  ?a   => ?a  founders  ?b	0.041666667	0.25	1	1	4	1	?a	0	0	0
?a  corporate  ?f  ?b  corporate  ?f   => ?a  founders  ?b	0.083333333	0.222222222	0.666666667	2	9	3	?a	0	0	0
?b  corporate  ?f  ?a  products  ?f   => ?a  founders  ?b	0.083333333	0.666666667	0.666666667	2	3	3	?a	0	0	0
?f  founders  ?b  ?a  subsid  ?f   => ?a  founders  ?b	0.083333333	0.666666667	0.666666667	2	3	3	?a	0	0	0
?f  founders  ?b  ?a  predecessor  ?f   => ?a  founders  ?b	0.083333333	0.666666667	0.666666667	2	3	3	?a	0	0	0
?a  key_person  ?b   => ?a  founders  ?b	0.25	0.162162162	0.6	6	37	10	?a	0	0	0
?a  key_people  ?b   => ?a  founders  ?b	0.166666667	0.125	0.5	4	32	8	?a	0	0	0
?b  spouse  ?f  ?a  traded_as  ?f   => ?a  founders  ?b	0.041666667	0.5	0.5	1	2	2	?a	0	0	0
?e  designer  ?b  ?e  developer  ?a   => ?a  founders  ?b	0.041666667	0.333333333	0.5	1	3	2	?a	0	0	0
?b  known_for  ?a   => ?a  founders  ?b	0.25	0.115384615	0.352941176	6	52	17	?a	0	0	0
?e  developer  ?a  ?e  developer  ?b   => ?a  founders  ?b	0.083333333	0.095238095	0.333333333	2	21	6	?a	0	0	0
?a  location_city  ?f  ?b  residence  ?f   => ?a  founders  ?b	0.041666667	0.055555556	0.25	1	18	4	?a	0	0	0
?a  location  ?f  ?b  residence  ?f   => ?a  founders  ?b	0.041666667	0.0625	0.25	1	16	4	?a	0	0	0
?a  traded_as  ?b   => ?a  founders  ?b	0.041666667	0.071428571	0.2	1	14	5	?a	0	0	0
?b  known_for  ?f  ?a  subsid  ?f   => ?a  founders  ?b	0.041666667	0.2	0.2	1	5	5	?a	0	0	0
?b  known_for  ?f  ?a  predecessor  ?f   => ?a  founders  ?b	0.041666667	0.2	0.2	1	5	5	?a	0	0	0
?e  education  ?b  ?e  occupation  ?a   => ?a  founders  ?b	0.041666667	0.015384615	0.2	1	65	5	?a	0	0	0
?b  birth_place  ?f  ?a  foundation  ?f   => ?a  founders  ?b	0.041666667	0.083333333	0.166666667	1	12	6	?a	0	0	0
?b  birth_place  ?f  ?a  foundation_place  ?f   => ?a  founders  ?b	0.041666667	0.058823529	0.166666667	1	17	6	?a	0	0	0
?b  board  ?a  ?b  boards  ?a   => ?a  founders  ?b	0.041666667	0.071428571	0.125	1	14	8	?a	0	0	0
?a  industry  ?b   => ?a  founders  ?b	0.041666667	0.052631579	0.111111111	1	19	9	?a	0	0	0
?a  owner  ?f  ?f  spouse  ?b   => ?a  founders  ?b	0.041666667	0.04	0.111111111	1	25	9	?a	0	0	0
?a  owning_company  ?f  ?f  spouse  ?b   => ?a  founders  ?b	0.041666667	0.066666667	0.111111111	1	15	9	?a	0	0	0
?e  salary  ?a  ?e  spouse  ?b   => ?a  founders  ?b	0.041666667	0.025	0.111111111	1	40	9	?a	0	0	0
?b  board  ?a   => ?a  founders  ?b	0.041666667	0.0625	0.1	1	16	10	?a	0	0	0
?b  boards  ?a   => ?a  founders  ?b	0.041666667	0.043478261	0.1	1	23	10	?a	0	0	0
Loading files... 										
  Starting company_founder_unique_1.tsv										
  Finished company_founder_unique_1.tsv, still running: 0										
Loaded 4660 facts in 45 ms using -10 MB										
Using HeadCoverage as pruning metric with minimum threshold 0.01										
Using recursivity limit 3										
Default mining assistant that defines support by counting support on both head variables										
No minimum threshold on standard confidence										
Filtering on PCA confidence with minimum threshold 0.1										
Constants in the arguments of relations are disabled										
Lossless (query refinement) heuristics enabled										
Starting the mining phase... Using 4 threads										
Mining done in 0.17 s										
Total time 0.22 s										
50 rules mined.										
