Loading files... 
  Starting company_founder_founders_all.tsv
  Finished company_founder_founders_all.tsv, still running: 0
Loaded 290557 facts in 2 min, 47 s using -417 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  occupation  ?a   => ?a  founders  ?b	0.090497738	0.022050717	0.110497238	20	907	181	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founders  ?b	0.212669683	0.279761905	0.661971831	47	168	71	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founders  ?b	0.131221719	0.111538462	0.568627451	29	260	51	?b	0.0	0.0	0.0
?b  known_for  ?a   => ?a  founders  ?b	0.081447964	0.025936599	0.264705882	18	694	68	?b	0.0	0.0	0.0
?b  employer  ?a   => ?a  founders  ?b	0.018099548	0.022727273	0.444444444	4	176	9	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founders  ?b	0.054298643	0.045977011	0.333333333	12	261	36	?b	0.0	0.0	0.0
?a  Drivers  ?b   => ?a  founders  ?b	0.013574661	0.013274336	0.157894737	3	226	19	?b	0.0	0.0	0.0
?a  staff  ?b   => ?a  founders  ?b	0.022624434	0.064102564	0.454545455	5	78	11	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.054298643	0.571428571	0.705882353	12	21	17	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.031674208	0.205882353	0.7	7	34	10	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  key_person  ?b   => ?a  founders  ?b	0.049773756	0.5	0.846153846	11	22	13	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.040723982	0.428571429	0.818181818	9	21	11	?b	0.0	0.0	0.0
?a  key_people  ?b  ?b  occupation  ?a   => ?a  founders  ?b	0.013574661	0.125	0.6	3	24	5	?b	0.0	0.0	0.0
?a  base  ?f  ?b  birth_place  ?f   => ?a  founders  ?b	0.013574661	0.019354839	0.115384615	3	155	26	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.022624434	0.294117647	0.833333333	5	17	6	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?a  key_people  ?b   => ?a  founders  ?b	0.022624434	0.5	0.833333333	5	10	6	?b	0.0	0.0	0.0
?a  founded_by  ?f  ?b  spouse  ?f   => ?a  founders  ?b	0.022624434	0.2	0.454545455	5	25	11	?b	0.0	0.0	0.0
?a  location_city  ?f  ?b  residence  ?f   => ?a  founders  ?b	0.018099548	0.02484472	0.121212121	4	161	33	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  spouse  ?f   => ?a  founders  ?b	0.040723982	0.214285714	0.9	9	42	10	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  relatives  ?f   => ?a  founders  ?b	0.027149321	0.333333333	1	6	18	6	?b	0.0	0.0	0.0
?f  known_for  ?a  ?b  relative  ?f   => ?a  founders  ?b	0.013574661	0.230769231	0.6	3	13	5	?b	0.0	0.0	0.0
?a  founders  ?f  ?f  spouse  ?b   => ?a  founders  ?b	0.040723982	0.138461538	0.9	9	65	10	?b	0.0	0.0	0.0
?a  founders  ?f  ?f  relative  ?b   => ?a  founders  ?b	0.018099548	0.444444444	1	4	9	4	?b	0.0	0.0	0.0
?a  founded_by  ?f  ?f  spouse  ?b   => ?a  founders  ?b	0.018099548	0.054054054	0.4	4	74	10	?b	0.0	0.0	0.0
?f  founders  ?b  ?a  subsid  ?f   => ?a  founders  ?b	0.013574661	0.111111111	0.111111111	3	27	27	?b	0.0	0.0	0.0
?f  founders  ?b  ?a  key_person  ?f   => ?a  founders  ?b	0.013574661	0.6	0.6	3	5	5	?b	0.0	0.0	0.0
?a  2016_Chassis  ?f  ?f  founders  ?b   => ?a  founders  ?b	0.018099548	1	1	4	4	4	?b	0.0	0.0	0.0
?f  founders  ?b  ?a  trading_name  ?f   => ?a  founders  ?b	0.018099548	1	1	4	4	4	?b	0.0	0.0	0.0
?a  founders  ?f  ?f  relatives  ?b   => ?a  founders  ?b	0.027149321	0.352941176	0.75	6	17	8	?b	0.0	0.0	0.0
?e  producer  ?b  ?e  studio  ?a   => ?a  founders  ?b	0.063348416	0.144329897	0.35	14	97	40	?b	0.0	0.0	0.0
?f  founders  ?b  ?a  long_name  ?f   => ?a  founders  ?b	0.054298643	1	1	12	12	12	?b	0.0	0.0	0.0
?a  founders  ?f  ?b  relative  ?f   => ?a  founders  ?b	0.018099548	0.333333333	1	4	12	4	?b	0.0	0.0	0.0
?e  company  ?a  ?e  producer  ?b   => ?a  founders  ?b	0.022624434	0.2	0.454545455	5	25	11	?b	0.0	0.0	0.0
?e  producer  ?b  ?e  production_companies  ?a   => ?a  founders  ?b	0.022624434	0.25	0.625	5	20	8	?b	0.0	0.0	0.0
?e  key_people  ?b  ?e  subsid  ?a   => ?a  founders  ?b	0.013574661	0.019607843	0.136363636	3	153	22	?b	0.0	0.0	0.0
?e  founders  ?b  ?e  long_name  ?a   => ?a  founders  ?b	0.054298643	0.52173913	0.52173913	12	23	23	?b	0.0	0.0	0.0
?e  2016_Chassis  ?a  ?e  founders  ?b   => ?a  founders  ?b	0.018099548	0.666666667	0.666666667	4	6	6	?b	0.0	0.0	0.0
?e  founders  ?b  ?e  trading_name  ?a   => ?a  founders  ?b	0.018099548	1	1	4	4	4	?b	0.0	0.0	0.0
?e  director  ?b  ?e  studio  ?a   => ?a  founders  ?b	0.027149321	0.113207547	0.272727273	6	53	22	?b	0.0	0.0	0.0
?e  founded_by  ?b  ?e  owner  ?a   => ?a  founders  ?b	0.013574661	0.050847458	0.103448276	3	59	29	?b	0.0	0.0	0.0
?e  known_for  ?a  ?e  relatives  ?b   => ?a  founders  ?b	0.013574661	0.1	0.230769231	3	30	13	?b	0.0	0.0	0.0
?e  Third_Driver  ?b  ?e  Third_team  ?a   => ?a  founders  ?b	0.013574661	0.014084507	0.1	3	213	30	?b	0.0	0.0	0.0
?e  Third_team  ?a  ?e  third_driver  ?b   => ?a  founders  ?b	0.013574661	0.014285714	0.107142857	3	210	28	?b	0.0	0.0	0.0
?e  company  ?a  ?e  executive_producer  ?b   => ?a  founders  ?b	0.036199095	0.258064516	0.615384615	8	31	13	?b	0.0	0.0	0.0
?e  third_driver  ?b  ?e  third_team  ?a   => ?a  founders  ?b	0.013574661	0.019230769	0.130434783	3	156	23	?b	0.0	0.0	0.0
?e  film_director  ?b  ?e  studio  ?a   => ?a  founders  ?b	0.018099548	0.086956522	0.235294118	4	46	17	?b	0.0	0.0	0.0
?e  company  ?a  ?e  developer  ?b   => ?a  founders  ?b	0.018099548	0.235294118	0.666666667	4	17	6	?b	0.0	0.0	0.0
?e  starring  ?b  ?e  studio  ?a   => ?a  founders  ?b	0.013574661	0.027777778	0.2	3	108	15	?b	0.0	0.0	0.0
?e  company  ?a  ?e  starring  ?b   => ?a  founders  ?b	0.013574661	0.053571429	0.75	3	56	4	?b	0.0	0.0	0.0
?e  Second_Driver  ?b  ?e  Second_team  ?a   => ?a  founders  ?b	0.018099548	0.022988506	0.148148148	4	174	27	?b	0.0	0.0	0.0
?e  Second_Driver  ?b  ?e  second_team  ?a   => ?a  founders  ?b	0.013574661	0.024390244	0.166666667	3	123	18	?b	0.0	0.0	0.0
?e  Pole_driver  ?b  ?e  Pole_team  ?a   => ?a  founders  ?b	0.013574661	0.02	0.12	3	150	25	?b	0.0	0.0	0.0
?e  known_for  ?a  ?e  relative  ?b   => ?a  founders  ?b	0.013574661	0.1875	0.6	3	16	5	?b	0.0	0.0	0.0
?e  second_driver  ?b  ?e  second_team  ?a   => ?a  founders  ?b	0.013574661	0.023076923	0.157894737	3	130	19	?b	0.0	0.0	0.0
?e  First_Driver  ?b  ?e  first_team  ?a   => ?a  founders  ?b	0.018099548	0.025316456	0.129032258	4	158	31	?b	0.0	0.0	0.0
?e  designer  ?b  ?e  developer  ?a   => ?a  founders  ?b	0.013574661	0.088235294	0.6	3	34	5	?b	0.0	0.0	0.0
?e  Second_team  ?a  ?e  second_driver  ?b   => ?a  founders  ?b	0.013574661	0.017142857	0.12	3	175	25	?b	0.0	0.0	0.0
Mining done in 0.40 s
Total time 2 min, 47 s
57 rules mined.
