Loading files... 
  Starting company_founder_founders_unique_all.tsv
  Finished company_founder_founders_unique_all.tsv, still running: 0
Loaded 285187 facts in 1.36 s using 129 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  known_for  ?a   => ?a  founders  ?b	0.088888889	0.018306636	0.285714286	8	437	28	?b	0.0	0.0	0.0
?b  salary  ?a   => ?a  founders  ?b	0.011111111	0.025	0.166666667	1	40	6	?b	0.0	0.0	0.0
?b  board  ?a   => ?a  founders  ?b	0.011111111	0.028571429	0.25	1	35	4	?b	0.0	0.0	0.0
?a  owning_company  ?b   => ?a  founders  ?b	0.022222222	0.010362694	0.133333333	2	193	15	?b	0.0	0.0	0.0
?a  subsid  ?b   => ?a  founders  ?b	0.011111111	0.017857143	0.5	1	56	2	?b	0.0	0.0	0.0
?a  services  ?b   => ?a  founders  ?b	0.011111111	0.038461538	0.5	1	26	2	?b	0.0	0.0	0.0
?a  key_person  ?b   => ?a  founders  ?b	0.133333333	0.101694915	0.4	12	118	30	?b	0.0	0.0	0.0
?a  key_people  ?b   => ?a  founders  ?b	0.088888889	0.060150376	0.307692308	8	133	26	?b	0.0	0.0	0.0
?a  traded_as  ?b   => ?a  founders  ?b	0.011111111	0.071428571	1	1	14	1	?b	0.0	0.0	0.0
?a  Principal  ?b   => ?a  founders  ?b	0.011111111	0.125	1	1	8	1	?b	0.0	0.0	0.0
?a  products  ?b   => ?a  founders  ?b	0.011111111	0.004048583	0.5	1	247	2	?b	0.0	0.0	0.0
?a  founding_choreographers  ?b   => ?a  founders  ?b	0.011111111	0.5	1	1	2	1	?b	0.0	0.0	0.0
?a  industry  ?b   => ?a  founders  ?b	0.011111111	0.011764706	0.333333333	1	85	3	?b	0.0	0.0	0.0
?a  founded_by  ?b   => ?a  founders  ?b	0.233333333	0.175	0.466666667	21	120	45	?b	0.0	0.0	0.0
?a  key_person  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.055555556	0.555555556	0.714285714	5	9	7	?b	0.0	0.0	0.0
?b  known_for  ?a  ?a  owning_company  ?b   => ?a  founders  ?b	0.011111111	1	1	1	1	1	?b	0.0	0.0	0.0
?a  founded_by  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.044444444	0.8	0.8	4	5	5	?b	0.0	0.0	0.0
?a  key_people  ?b  ?b  known_for  ?a   => ?a  founders  ?b	0.011111111	0.25	0.5	1	4	2	?b	0.0	0.0	0.0
?b  known_for  ?a  ?b  salary  ?a   => ?a  founders  ?b	0.011111111	1	1	1	1	1	?b	0.0	0.0	0.0
?b  known_for  ?a  ?a  owner  ?b   => ?a  founders  ?b	0.011111111	1	1	1	1	1	?b	0.0	0.0	0.0
