id,sentence
15,"Phoenix is the capital of Arizona."
20,"Tucson is the capital of Arizona."
21,"Denver is the capital of Arizona."
22,"Austin is the capital of Texas."
23,"Salt Lake City is the capital of Utah."
24,"Richmond is the capital of Virginia."
25,"Santa Fe is the capital of New Mexico."
26,"Madison is the capital of Wisconsin."
27,"Albany is the capital of New York."
28,"Chicago is the capital of Illinois."
29,"Sprinfield is the capital of Illinois."
30,"Helena is the capital of Montana."
51,"Lansing is the capital of Michingan."
52,"Lincoln is the capital of Nebraska."
53,"Dover is the capital of Delaware."
54,"Atlanta is the capital of Georgia."
55,"Topeka is the capital of Kansas."
56,"Frankfort is the capital of Kentucky."
57,"Boise is the capital of Idaho."
58,"Honolulu is the capital of Hawaii."
59"Jackson is the capital of Mississippi."
60,"Columbia is the capital of South Carolina."
