1,Bill Clinton is married to Hillary Clinton.,"[""spouse('Bill_Clinton', 'Hillary_Clinton') 0.821829082107"", ""spouse('Hillary_Clinton', 'Bill_Clinton') 0.821829082107""]","['spouse(""Hillary_Clinton"",""Bill_Clinton"")', 'spouse(""Bill_Clinton"",""Hillary_Clinton"")']","[""spouse('Bill_Clinton', 'Hillary_Clinton') 1.0"", ""spouse('Hillary_Clinton', 'Bill_Clinton') 1.0""]","[""spouse('Bill_Clinton', 'Hillary_Clinton') 0.821829082107"", ""spouse('Hillary_Clinton', 'Hillary_Clinton') 0.750260105595"", ""spouse('Hillary_Clinton', 'Bill_Clinton') 0.821829082107"", ""spouse('Bill_Clinton', 'Bill_Clinton') 0.750260105595""]","['child(""Bill_Clinton"",""Chelsea_Clinton"")', 'child(""Virginia_Clinton_Kelley"",""Bill_Clinton"")', 'child(""Jeff_Dwire"",""Bill_Clinton"")', 'child(""Roger_Clinton_Sr."",""Bill_Clinton"")', 'parent(""Chelsea_Clinton"",""Bill_Clinton"")', 'child(""Hillary_Clinton"",""Chelsea_Clinton"")', 'child(""Dorothy_Howell_Rodham"",""Hillary_Clinton"")', 'child(""Hugh_E._Rodham"",""Hillary_Clinton"")', 'parent(""Chelsea_Clinton"",""Hillary_Clinton"")', 'spouse(""Bill_Clinton"",""Bill_Clinton"")', 'spouse(""Hillary_Clinton"",""Bill_Clinton"")', 'spouse(""Bill_Clinton"",""Hillary_Clinton"")', 'spouse(""Hillary_Clinton"",""Hillary_Clinton"")']","[""spouse('Bill_Clinton', 'Hillary_Clinton') 1.0"", ""spouse('Hillary_Clinton', 'Hillary_Clinton') 1.0"", ""spouse('Bill_Clinton', 'Bill_Clinton') 1.0"", ""spouse('Hillary_Clinton', 'Bill_Clinton') 1.0""]"
2,George W Bush is married to Laura Bush.,"[""spouse('Laura_Bush', 'George_W._Bush') 0.845605774485"", ""spouse('George_W._Bush', 'Laura_Bush') 0.893670002643""]","['spouse(""Laura_Bush"",""George_W._Bush"")', 'spouse(""George_W._Bush"",""Laura_Bush"")']","[""spouse('Laura_Bush', 'George_W._Bush') 1.0"", ""spouse('George_W._Bush', 'Laura_Bush') 1.0""]","[""spouse('Laura_Bush', 'Laura_Bush') 0.832018385134"", ""spouse('George_W._Bush', 'George_W._Bush') 0.90024951088"", ""spouse('Laura_Bush', 'George_W._Bush') 0.845605774485"", ""spouse('George_W._Bush', 'Laura_Bush') 0.893670002643""]","['child(""George_W._Bush"",""Barbara_Bush_(born_1981)"")', 'child(""George_W._Bush"",""Jenna_Bush_Hager"")', 'relation(""George_W._Bush"",""Bush_family"")', 'child(""George_H._W._Bush"",""George_W._Bush"")', 'child(""Barbara_Bush"",""George_W._Bush"")', 'parent(""Barbara_Bush_(born_1981)"",""George_W._Bush"")', 'parent(""Jenna_Bush_Hager"",""George_W._Bush"")', 'relation(""Anne_Hutchinson"",""George_W._Bush"")', 'relation(""Samuel_P._Bush"",""George_W._Bush"")', 'relation(""Jonathan_Bush"",""George_W._Bush"")', 'child(""Laura_Bush"",""Jenna_Bush_Hager"")', 'child(""Laura_Bush"",""Barbara_Pierce_Bush"")', 'parent(""Barbara_Bush_(born_1981)"",""Laura_Bush"")', 'parent(""Jenna_Bush_Hager"",""Laura_Bush"")', 'spouse(""George_W._Bush"",""George_W._Bush"")', 'spouse(""Laura_Bush"",""George_W._Bush"")', 'spouse(""George_W._Bush"",""Laura_Bush"")', 'spouse(""Laura_Bush"",""Laura_Bush"")']","[""spouse('Laura_Bush', 'George_W._Bush') 1.0"", ""spouse('George_W._Bush', 'Laura_Bush') 1.0"", ""spouse('Laura_Bush', 'Laura_Bush') 1.0"", ""spouse('George_W._Bush', 'George_W._Bush') 1.0""]"
3,Donald Trump is married to Melania Trump.,[],[],[],"[""spouse('Donald_Trump', 'Ivana_Trump') 1.0"", ""spouse('Donald_Trump', 'Donald_Trump') 0.880797077978"", ""spouse('Marla_Maples', 'Donald_Trump') 1.0"", ""spouse('Donald_Trump', 'Marla_Maples') 1.0"", ""spouse('Ivana_Trump', 'Donald_Trump') 1.0""]","['child(""Donald_Trump"",""Donald_Trump_Jr."")', 'child(""Donald_Trump"",""Tiffany_Trump"")', 'child(""Donald_Trump"",""Eric_Trump"")', 'child(""Donald_Trump"",""Ivanka_Trump"")', 'parent(""Donald_Trump"",""Fred_Trump"")', 'spouse(""Donald_Trump"",""Marla_Maples"")', 'spouse(""Donald_Trump"",""Ivana_Trump"")', 'child(""Fred_Trump"",""Donald_Trump"")', 'relation(""Jared_Kushner"",""Donald_Trump"")', 'spouse(""Marla_Maples"",""Donald_Trump"")', 'spouse(""Ivana_Trump"",""Donald_Trump"")', 'spouse(""Donald_Trump"",""Donald_Trump"")']","[""spouse('Donald_Trump', 'Ivana_Trump') 1.0"", ""spouse('Donald_Trump', 'Donald_Trump') 1.0"", ""spouse('Marla_Maples', 'Donald_Trump') 1.0"", ""spouse('Donald_Trump', 'Marla_Maples') 1.0"", ""spouse('Ivana_Trump', 'Donald_Trump') 1.0""]"
4,Ronald Reagan is married to Nancy Reagan.,"[""spouse('Nancy_Reagan', 'Ronald_Reagan') 0.994626519017"", ""spouse('Ronald_Reagan', 'Nancy_Reagan') 0.983295454301""]","['restingPlace(""Nancy_Reagan"",""Ronald_Reagan_Presidential_Library"")', 'spouse(""Nancy_Reagan"",""Ronald_Reagan"")', 'spouse(""Ronald_Reagan"",""Nancy_Reagan"")']","[""spouse('Ronald_Reagan', 'Nancy_Reagan') 1.0"", ""spouse('Nancy_Reagan', 'Ronald_Reagan') 1.0""]","[""spouse('Nancy_Reagan', 'Nancy_Reagan') 0.960834277203"", ""spouse('Jane_Wyman', 'Ronald_Reagan') 1.0"", ""spouse('Ronald_Reagan', 'Jane_Wyman') 1.0"", ""spouse('Ronald_Reagan', 'Ronald_Reagan') 0.987871565016"", ""spouse('Nancy_Reagan', 'Ronald_Reagan') 0.994626519017"", ""spouse('Ronald_Reagan', 'Nancy_Reagan') 0.983295454301""]","['child(""Ronald_Reagan"",""Ron_Reagan"")', 'child(""Ronald_Reagan"",""Maureen_Reagan"")', 'child(""Ronald_Reagan"",""Michael_Reagan"")', 'child(""Ronald_Reagan"",""Patti_Davis"")', 'relation(""Ronald_Reagan"",""Neil_Reagan"")', 'spouse(""Ronald_Reagan"",""Jane_Wyman"")', 'restingPlace(""Ronald_Reagan"",""Reagan', 'child(""Jack_Reagan"",""Ronald_Reagan"")', 'child(""Nelle_Wilson_Reagan"",""Ronald_Reagan"")', 'parent(""Ron_Reagan"",""Ronald_Reagan"")', 'parent(""Maureen_Reagan"",""Ronald_Reagan"")', 'parent(""Michael_Reagan"",""Ronald_Reagan"")', 'parent(""Patti_Davis"",""Ronald_Reagan"")', 'relation(""Neil_Reagan"",""Ronald_Reagan"")', 'spouse(""Jane_Wyman"",""Ronald_Reagan"")', 'child(""Nancy_Reagan"",""Ron_Reagan"")', 'child(""Nancy_Reagan"",""Maureen_Reagan"")', 'child(""Nancy_Reagan"",""Michael_Reagan"")', 'child(""Nancy_Reagan"",""Patti_Davis"")', 'restingPlace(""Nancy_Reagan"",""Ronald_Reagan_Presidential_Library"")', 'restingPlace(""Nancy_Reagan"",""Simi_Valley,_California"")', 'child(""Edith_Luckett_Davis"",""Nancy_Reagan"")', 'parent(""Ron_Reagan"",""Nancy_Reagan"")', 'parent(""Patti_Davis"",""Nancy_Reagan"")', 'spouse(""Ronald_Reagan"",""Ronald_Reagan"")', 'spouse(""Nancy_Reagan"",""Ronald_Reagan"")', 'spouse(""Ronald_Reagan"",""Nancy_Reagan"")', 'spouse(""Nancy_Reagan"",""Nancy_Reagan"")']","[""spouse('Ronald_Reagan', 'Jane_Wyman') 1.0"", ""spouse('Ronald_Reagan', 'Nancy_Reagan') 1.0"", ""spouse('Jane_Wyman', 'Ronald_Reagan') 1.0"", ""spouse('Nancy_Reagan', 'Nancy_Reagan') 1.0"", ""spouse('Ronald_Reagan', 'Ronald_Reagan') 1.0"", ""spouse('Nancy_Reagan', 'Ronald_Reagan') 1.0""]"
5,Jimmy Carter is married to Rosalynn Carter.,"[""spouse('Rosalynn_Carter', 'Jimmy_Carter') 0.947997275364"", ""spouse('Jimmy_Carter', 'Rosalynn_Carter') 0.947997275364""]","['spouse(""Rosalynn_Carter"",""Jimmy_Carter"")', 'spouse(""Jimmy_Carter"",""Rosalynn_Carter"")']","[""spouse('Rosalynn_Carter', 'Jimmy_Carter') 1.0"", ""spouse('Jimmy_Carter', 'Rosalynn_Carter') 1.0""]","[""spouse('Rosalynn_Carter', 'Rosalynn_Carter') 0.90024951088"", ""spouse('Jimmy_Carter', 'Jimmy_Carter') 0.90024951088"", ""spouse('Rosalynn_Carter', 'Jimmy_Carter') 0.947997275364"", ""spouse('Jimmy_Carter', 'Rosalynn_Carter') 0.947997275364""]","['child(""Jimmy_Carter"",""Jack_Carter_(politician)"")', 'child(""Jimmy_Carter"",""Amy_Carter"")', 'child(""James_Earl_Carter_Sr."",""Jimmy_Carter"")', 'child(""Lillian_Gordy_Carter"",""Jimmy_Carter"")', 'parent(""Jack_Carter_(politician)"",""Jimmy_Carter"")', 'parent(""Amy_Carter"",""Jimmy_Carter"")', 'relation(""Ruth_Carter_Stapleton"",""Jimmy_Carter"")', 'child(""Rosalynn_Carter"",""Jack_Carter_(politician)"")', 'child(""Rosalynn_Carter"",""Amy_Carter"")', 'parent(""Jack_Carter_(politician)"",""Rosalynn_Carter"")', 'parent(""Amy_Carter"",""Rosalynn_Carter"")', 'spouse(""Jimmy_Carter"",""Jimmy_Carter"")', 'spouse(""Rosalynn_Carter"",""Jimmy_Carter"")', 'spouse(""Jimmy_Carter"",""Rosalynn_Carter"")', 'spouse(""Rosalynn_Carter"",""Rosalynn_Carter"")']","[""spouse('Rosalynn_Carter', 'Rosalynn_Carter') 1.0"", ""spouse('Jimmy_Carter', 'Jimmy_Carter') 1.0"", ""spouse('Rosalynn_Carter', 'Jimmy_Carter') 1.0"", ""spouse('Jimmy_Carter', 'Rosalynn_Carter') 1.0""]"
6,Richard Nixon is married to Pat Nixon.,"[""spouse('Pat_Nixon', 'Richard_Nixon') 0.947997275364"", ""spouse('Richard_Nixon', 'Pat_Nixon') 0.947997275364""]","['restingPlace(""Pat_Nixon"",""Richard_Nixon_Presidential_Library_and_Museum"")', 'spouse(""Pat_Nixon"",""Richard_Nixon"")', 'spouse(""Richard_Nixon"",""Pat_Nixon"")']","[""spouse('Pat_Nixon', 'Richard_Nixon') 1.0"", ""spouse('Richard_Nixon', 'Pat_Nixon') 1.0""]","[""spouse('Pat_Nixon', 'Pat_Nixon') 0.90024951088"", ""spouse('Pat_Nixon', 'Richard_Nixon') 0.947997275364"", ""spouse('Richard_Nixon', 'Pat_Nixon') 0.947997275364"", ""spouse('Richard_Nixon', 'Richard_Nixon') 0.90024951088""]","['child(""Richard_Nixon"",""Julie_Nixon_Eisenhower"")', 'child(""Richard_Nixon"",""Tricia_Nixon_Cox"")', 'restingPlace(""Richard_Nixon"",""Richard_Nixon_Presidential_Library_and_Museum"")', 'restingPlace(""Richard_Nixon"",""Yorba', 'child(""Francis_A._Nixon"",""Richard_Nixon"")', 'child(""Hannah_Milhous_Nixon"",""Richard_Nixon"")', 'parent(""Julie_Nixon_Eisenhower"",""Richard_Nixon"")', 'parent(""Tricia_Nixon_Cox"",""Richard_Nixon"")', 'relation(""David_Eisenhower"",""Richard_Nixon"")', 'child(""Pat_Nixon"",""Julie_Nixon_Eisenhower"")', 'child(""Pat_Nixon"",""Tricia_Nixon_Cox"")', 'restingPlace(""Pat_Nixon"",""Yorba_Linda,_California"")', 'restingPlace(""Pat_Nixon"",""Richard_Nixon_Presidential_Library_and_Museum"")', 'parent(""Julie_Nixon_Eisenhower"",""Pat_Nixon"")', 'parent(""Tricia_Nixon_Cox"",""Pat_Nixon"")', 'spouse(""Richard_Nixon"",""Richard_Nixon"")', 'spouse(""Pat_Nixon"",""Richard_Nixon"")', 'spouse(""Richard_Nixon"",""Pat_Nixon"")', 'spouse(""Pat_Nixon"",""Pat_Nixon"")']","[""spouse('Pat_Nixon', 'Richard_Nixon') 1.0"", ""spouse('Richard_Nixon', 'Pat_Nixon') 1.0"", ""spouse('Pat_Nixon', 'Pat_Nixon') 1.0"", ""spouse('Richard_Nixon', 'Richard_Nixon') 1.0""]"
7,Franklin D Roosevelt is married to Eleanor Roosevelt.,"[""spouse('Eleanor_Roosevelt', 'Franklin_D._Roosevelt') 0.964874362044"", ""spouse('Franklin_D._Roosevelt', 'Eleanor_Roosevelt') 0.97914176757""]","['restingPlace(""Eleanor_Roosevelt"",""Home_of_Franklin_D._Roosevelt_National_Historic_Site"")', 'spouse(""Franklin_D._Roosevelt"",""Eleanor_Roosevelt"")', 'spouse(""Eleanor_Roosevelt"",""Franklin_D._Roosevelt"")']","[""spouse('Franklin_D._Roosevelt', 'Eleanor_Roosevelt') 1.0"", ""spouse('Eleanor_Roosevelt', 'Franklin_D._Roosevelt') 1.0""]","[""spouse('Franklin_D._Roosevelt', 'Franklin_D._Roosevelt') 0.924141819979"", ""spouse('Eleanor_Roosevelt', 'Eleanor_Roosevelt') 0.956892745059"", ""spouse('Eleanor_Roosevelt', 'Franklin_D._Roosevelt') 0.964874362044"", ""spouse('Franklin_D._Roosevelt', 'Eleanor_Roosevelt') 0.97914176757""]","['child(""Franklin_D._Roosevelt"",""John_Aspinwall_Roosevelt"")', 'child(""Franklin_D._Roosevelt"",""James_Roosevelt"")', 'child(""Franklin_D._Roosevelt"",""Anna_Roosevelt_Halsted"")', 'child(""Franklin_D._Roosevelt"",""Elliott_Roosevelt"")', 'child(""Franklin_D._Roosevelt"",""Franklin_Delano_Roosevelt,_Jr."")', 'relation(""Franklin_D._Roosevelt"",""Roosevelt_family"")', 'relation(""Franklin_D._Roosevelt"",""Delano_family"")', 'restingPlace(""Franklin_D._Roosevelt"",""Hyde_Park,_New_York"")', 'restingPlace(""Franklin_D._Roosevelt"",""Home_of_Franklin_D._Roosevelt_National_Historic_Site"")', 'restingPlace(""Franklin_D._Roosevelt"",""New_York_(state)"")', 'child(""Sara_Roosevelt"",""Franklin_D._Roosevelt"")', 'child(""James_Roosevelt_I"",""Franklin_D._Roosevelt"")', 'relation(""Anne_Hutchinson"",""Franklin_D._Roosevelt"")', 'relation(""Susan_Roosevelt_Weld"",""Franklin_D._Roosevelt"")', 'child(""Eleanor_Roosevelt"",""John_Aspinwall_Roosevelt"")', 'child(""Eleanor_Roosevelt"",""James_Roosevelt"")', 'child(""Eleanor_Roosevelt"",""Anna_Roosevelt_Halsted"")', 'child(""Eleanor_Roosevelt"",""Elliott_Roosevelt"")', 'child(""Eleanor_Roosevelt"",""Franklin_Delano_Roosevelt,_Jr."")', 'restingPlace(""Eleanor_Roosevelt"",""Hyde_Park,_New_York"")', 'restingPlace(""Eleanor_Roosevelt"",""Home_of_Franklin_D._Roosevelt_National_Historic_Site"")', 'child(""Anna_Hall_Roosevelt"",""Eleanor_Roosevelt"")', 'parent(""John_Aspinwall_Roosevelt"",""Eleanor_Roosevelt"")', 'relation(""Susan_Roosevelt_Weld"",""Eleanor_Roosevelt"")', 'spouse(""Franklin_D._Roosevelt"",""Eleanor_Roosevelt"")', 'spouse(""Eleanor_Roosevelt"",""Eleanor_Roosevelt"")', 'spouse(""Franklin_D._Roosevelt"",""Franklin_D._Roosevelt"")', 'spouse(""Eleanor_Roosevelt"",""Franklin_D._Roosevelt"")']","[""spouse('Eleanor_Roosevelt', 'Eleanor_Roosevelt') 1.0"", ""spouse('Franklin_D._Roosevelt', 'Eleanor_Roosevelt') 1.0"", ""spouse('Franklin_D._Roosevelt', 'Franklin_D._Roosevelt') 1.0"", ""spouse('Eleanor_Roosevelt', 'Franklin_D._Roosevelt') 1.0""]"
8,John F Kennedy is married to Jacqueline Kennedy.,"[""spouse('John_F._Kennedy', 'Jacqueline_Kennedy_Onassis') 0.969938269604"", ""spouse('Jacqueline_Kennedy_Onassis', 'John_F._Kennedy') 0.969938269604""]","['child(""Jacqueline_Kennedy_Onassis"",""John_F._Kennedy_Jr."")', 'parent(""John_F._Kennedy_Jr."",""Jacqueline_Kennedy_Onassis"")', 'spouse(""Jacqueline_Kennedy_Onassis"",""John_F._Kennedy"")', 'spouse(""John_F._Kennedy"",""Jacqueline_Kennedy_Onassis"")']","[""spouse('John_F._Kennedy', 'Jacqueline_Kennedy_Onassis') 1.0"", ""spouse('Jacqueline_Kennedy_Onassis', 'John_F._Kennedy') 1.0""]","[""spouse('Aristotle_Onassis', 'Jacqueline_Kennedy_Onassis') 1.0"", ""spouse('Jacqueline_Kennedy_Onassis', 'Jacqueline_Kennedy_Onassis') 0.937026643943"", ""spouse('John_F._Kennedy', 'John_F._Kennedy') 0.937026643943"", ""spouse('Jacqueline_Kennedy_Onassis', 'Aristotle_Onassis') 1.0"", ""spouse('John_F._Kennedy', 'Jacqueline_Kennedy_Onassis') 0.969938269604"", ""spouse('Jacqueline_Kennedy_Onassis', 'John_F._Kennedy') 0.969938269604""]","['child(""John_F._Kennedy"",""Patrick_Bouvier_Kennedy"")', 'child(""John_F._Kennedy"",""Caroline_Kennedy"")', 'child(""John_F._Kennedy"",""John_F._Kennedy_Jr."")', 'relation(""John_F._Kennedy"",""Kennedy_family"")', 'restingPlace(""John_F._Kennedy"",""Arlington_National_Cemetery"")', 'child(""Rose_Kennedy"",""John_F._Kennedy"")', 'child(""Joseph_P._Kennedy_Sr."",""John_F._Kennedy"")', 'parent(""Patrick_Bouvier_Kennedy"",""John_F._Kennedy"")', 'parent(""John_F._Kennedy_Jr."",""John_F._Kennedy"")', 'relation(""Kara_Kennedy"",""John_F._Kennedy"")', 'relation(""Kathleen_Kennedy_Townsend"",""John_F._Kennedy"")', 'child(""Jacqueline_Kennedy_Onassis"",""Patrick_Bouvier_Kennedy"")', 'child(""Jacqueline_Kennedy_Onassis"",""Caroline_Kennedy"")', 'child(""Jacqueline_Kennedy_Onassis"",""John_F._Kennedy_Jr."")', 'spouse(""Jacqueline_Kennedy_Onassis"",""Aristotle_Onassis"")', 'child(""Janet_Lee_Bouvier"",""Jacqueline_Kennedy_Onassis"")', 'child(""John_Vernou_Bouvier_III"",""Jacqueline_Kennedy_Onassis"")', 'parent(""Patrick_Bouvier_Kennedy"",""Jacqueline_Kennedy_Onassis"")', 'parent(""John_F._Kennedy_Jr."",""Jacqueline_Kennedy_Onassis"")', 'relation(""Bouvier_Beale"",""Jacqueline_Kennedy_Onassis"")', 'relation(""Phelan_Beale,_Jr."",""Jacqueline_Kennedy_Onassis"")', 'relation(""Edith_Bouvier_Beale"",""Jacqueline_Kennedy_Onassis"")', 'spouse(""Aristotle_Onassis"",""Jacqueline_Kennedy_Onassis"")', 'spouse(""John_F._Kennedy"",""John_F._Kennedy"")', 'spouse(""Jacqueline_Kennedy_Onassis"",""John_F._Kennedy"")', 'spouse(""John_F._Kennedy"",""Jacqueline_Kennedy_Onassis"")', 'spouse(""Jacqueline_Kennedy_Onassis"",""Jacqueline_Kennedy_Onassis"")']","[""spouse('Jacqueline_Kennedy_Onassis', 'Aristotle_Onassis') 1.0"", ""spouse('John_F._Kennedy', 'John_F._Kennedy') 1.0"", ""spouse('Aristotle_Onassis', 'Jacqueline_Kennedy_Onassis') 1.0"", ""spouse('John_F._Kennedy', 'Jacqueline_Kennedy_Onassis') 1.0"", ""spouse('Jacqueline_Kennedy_Onassis', 'John_F._Kennedy') 1.0"", ""spouse('Jacqueline_Kennedy_Onassis', 'Jacqueline_Kennedy_Onassis') 1.0""]"
9,Barack Obama is married to Michelle Obama.,"[""spouse('Michelle_Obama', 'Illinois_Senate_career_of_Barack_Obama') 0.710949502625"", ""spouse('United_States_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0"", ""spouse('Michelle_Obama', 'United_States_Senate_career_of_Barack_Obama') 0.710949502625"", ""spouse('Illinois_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0""]","['spouse(""United_States_Senate_career_of_Barack_Obama"",""Michelle_Obama"")', 'spouse(""Illinois_Senate_career_of_Barack_Obama"",""Michelle_Obama"")', 'spouse(""Michelle_Obama"",""United_States_Senate_career_of_Barack_Obama"")', 'spouse(""Michelle_Obama"",""Illinois_Senate_career_of_Barack_Obama"")']","[""spouse('Michelle_Obama', 'Illinois_Senate_career_of_Barack_Obama') 1.0"", ""spouse('United_States_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0"", ""spouse('Michelle_Obama', 'United_States_Senate_career_of_Barack_Obama') 1.0"", ""spouse('Illinois_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0""]","[""spouse('Michelle_Obama', 'Illinois_Senate_career_of_Barack_Obama') 0.710949502625"", ""spouse('Ann_Dunham', 'Barack_Obama_Sr.') 0.669826877688"", ""spouse('Barack_Obama_Sr.', 'Barack_Obama_Sr.') 0.622459331202"", ""spouse('United_States_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0"", ""spouse('Barack_Obama_Sr.', 'Lolo_Soetoro') 0.669826877688"", ""spouse('Barack_Obama_Sr.', 'Ann_Dunham') 0.669826877688"", ""spouse('Lolo_Soetoro', 'Barack_Obama_Sr.') 0.669826877688"", ""spouse('Michelle_Obama', 'United_States_Senate_career_of_Barack_Obama') 0.710949502625"", ""spouse('Illinois_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0""]","['child(""Barack_Obama_Sr."",""Barack_Obama"")', 'child(""Ann_Dunham"",""Barack_Obama"")', 'child(""Lolo_Soetoro"",""Barack_Obama"")', 'relation(""Stanley_Armour_Dunham"",""Barack_Obama"")', 'relation(""Maya_Soetoro-Ng"",""Barack_Obama"")', 'relation(""Marian_Shields_Robinson"",""Barack_Obama"")', 'relation(""Charles_T._Payne"",""Barack_Obama"")', 'child(""Marian_Shields_Robinson"",""Michelle_Obama"")', 'spouse(""United_States_Senate_career_of_Barack_Obama"",""Michelle_Obama"")', 'spouse(""Illinois_Senate_career_of_Barack_Obama"",""Michelle_Obama"")', 'spouse(""Barack_Obama_Sr."",""Barack_Obama_Sr."")', 'spouse(""Ann_Dunham"",""Barack_Obama_Sr."")', 'spouse(""Lolo_Soetoro"",""Barack_Obama_Sr."")', 'spouse(""Barack_Obama_Sr."",""Ann_Dunham"")', 'spouse(""Barack_Obama_Sr."",""Lolo_Soetoro"")', 'spouse(""Michelle_Obama"",""United_States_Senate_career_of_Barack_Obama"")', 'spouse(""Michelle_Obama"",""Illinois_Senate_career_of_Barack_Obama"")']","[""spouse('Michelle_Obama', 'Illinois_Senate_career_of_Barack_Obama') 1.0"", ""spouse('Ann_Dunham', 'Barack_Obama_Sr.') 1.0"", ""spouse('Barack_Obama_Sr.', 'Barack_Obama_Sr.') 1.0"", ""spouse('United_States_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0"", ""spouse('Barack_Obama_Sr.', 'Lolo_Soetoro') 1.0"", ""spouse('Barack_Obama_Sr.', 'Ann_Dunham') 1.0"", ""spouse('Lolo_Soetoro', 'Barack_Obama_Sr.') 1.0"", ""spouse('Michelle_Obama', 'United_States_Senate_career_of_Barack_Obama') 1.0"", ""spouse('Illinois_Senate_career_of_Barack_Obama', 'Michelle_Obama') 1.0""]"
10,Woodrow Wilson is married to Edith Bolling Wilson.,[],[],[],"[""spouse('Woodrow_Wilson', 'Ellen_Axson_Wilson') 1.0"", ""spouse('Ellen_Axson_Wilson', 'Woodrow_Wilson') 1.0"", ""spouse('Woodrow_Wilson', 'Woodrow_Wilson') 0.937026643943""]","['child(""Woodrow_Wilson"",""Jessie_Woodrow_Wilson_Sayre"")', 'child(""Woodrow_Wilson"",""Eleanor_Wilson_McAdoo"")', 'child(""Woodrow_Wilson"",""Margaret_Woodrow_Wilson"")', 'restingPlace(""Woodrow_Wilson"",""Washington_National_Cathedral"")', 'spouse(""Woodrow_Wilson"",""Ellen_Axson_Wilson"")', 'child(""Joseph_Ruggles_Wilson"",""Woodrow_Wilson"")', 'parent(""Jessie_Woodrow_Wilson_Sayre"",""Woodrow_Wilson"")', 'parent(""Eleanor_Wilson_McAdoo"",""Woodrow_Wilson"")', 'spouse(""Ellen_Axson_Wilson"",""Woodrow_Wilson"")', 'spouse(""Woodrow_Wilson"",""Woodrow_Wilson"")']","[""spouse('Woodrow_Wilson', 'Ellen_Axson_Wilson') 1.0"", ""spouse('Ellen_Axson_Wilson', 'Woodrow_Wilson') 1.0"", ""spouse('Woodrow_Wilson', 'Woodrow_Wilson') 1.0""]"
