revenue("MGA_Entertainment","2.0E9").
foundingYear("MGA_Entertainment","1979").
numberOfEmployees("MGA_Entertainment","1100").
keyPerson("MGA_Entertainment","Isaac_Larian").
keyPerson("MGA_Entertainment","Chief_executive_officer").
location("MGA_Entertainment","United_States").
location("MGA_Entertainment","Los_Angeles,_California").
type("MGA_Entertainment","Private_company").
networth("Isaac_Larian","1.2E9").
birthPlace("Isaac_Larian","Iran").
birthPlace("Isaac_Larian","Kashan").
birthYear("Isaac_Larian","1954").
capital("United_States","Washington,_D.C.").
largestCity("United_States","New_York_City").
occupation("Isaac_Larian","Chief_Executive_Officer").
occupation("Isaac_Larian","MGA_Entertainment").
occupation("Isaac_Larian","Isaac_Larian__1").
religion("Isaac_Larian","Judaism").
birthPlace("Carlos_Ghosn","Brazil").
birthPlace("Carlos_Ghosn","Porto_Velho").
birthYear("Carlos_Ghosn","1954").
nationality("Carlos_Ghosn","Brazilian_nationality_law").
nationality("Carlos_Ghosn","French_nationality_law").
nationality("Carlos_Ghosn","Lebanese_nationality_law").
occupation("Carlos_Ghosn","Nissan_Motors").
occupation("Carlos_Ghosn","Renault").
occupation("Carlos_Ghosn","Renault-Nissan_Alliance").
occupation("Carlos_Ghosn","Carlos_Ghosn__1").
stateOfOrigin("Carlos_Ghosn","Lebanese_nationality_law").
stateOfOrigin("Carlos_Ghosn","French_nationality_law").
stateOfOrigin("Carlos_Ghosn","Brazilian_nationality_law").
location("Porto_Velho","Porto Velho").
numberOfEmployees("Renault","127086").
country("Porto_Velho","Brazil").
foundedBy("Renault","Fernand_Renault").
foundedBy("Renault","Marcel_Renault").
foundedBy("Renault","Louis_Renault_(industrialist)").
industry("Renault","Automotive_industry").
isPartOf("Porto_Velho","North_Region,_Brazil").
keyPerson("Renault","Louis_Schweitzer_(businessman)").
keyPerson("Renault","Carlos_Ghosn").
locationCity("Renault","Boulogne-Billancourt").
locationCountry("Renault","France").
owner("Renault","Non-voting_stock").
owningCompany("Renault","Non-voting_stock").
product("Renault","Loan").
product("Renault","Commercial_vehicle").
product("Renault","Luxury_car").
type("Renault","S.A._(corporation)").
