Colombo,Sri_Lanka
Bridgetown,Barbados
Cairo,Egypt
Rabat,Morocco
Dhaka,Bangladesh
Abu_Dhabi,United_Arab_Emirates
Kathmandu,Nepal
Kabul,Kabul_Shahi
Karachi,Dominion_of_Pakistan
Vientiane,Kingdom_of_Laos
Kathmandu,Kingdom_of_Nepal
Islamabad,Pakistan
Kuala_Lumpur,Malaysia
Agra,Mughal_Empire
Astana,Kazakhstan
Kabul,Islamic_State_of_Afghanistan
Canberra,Australia
Lahore,Mughal_Empire
Santo_Domingo,Dominican_Republic
Khartoum,Sudan
Tunis,Tunisia
Nairobi,Kenya
Amman,Jordan
Vientiane,Laos
Windhoek,Namibia
Riyadh,Saudi_Arabia
Naypyidaw,Myanmar
Pyongyang,North_Korea
Kinshasa,Democratic_Republic_of_the_Congo
Tehran,Iran
Ottawa,Canada
Delhi,Mughal_Empire
Fatehpur_Sikri,Mughal_Empire
Bonn,West_Germany
Kuala_Lumpur,Federation_of_Malaya
Lusaka,Zambia
Karachi,West_Pakistan
Berlin,Germany
Harare,Zimbabwe
Lahore,West_Pakistan
Baghdad,Iraq
"Muscat,_Oman",Oman
Islamabad,West_Pakistan
Bishkek,Kyrgyzstan
Kabul,Afghanistan
Dili,East_Timor
Ankara,Turkey
Lahore,West_Punjab
Ouagadougou,Burkina_Faso
Nabadwip,Sena_dynasty
Sana'a,Yemen
