Addis_Ababa,Ethiopia
Maseru,Lesotho
Colombo,Sri_Lanka
Ashgabat,Turkmenistan
Doha,Qatar
Kuwait_City,Kuwait
Cairo,Egypt
Beirut,Lebanon
"Washington,_D.C.",United_States
Tripoli,Libya
Dhaka,Bangladesh
Kathmandu,Nepal
Dodoma,Tanzania
Dushanbe,Tajikistan
Kabul,Afghanistan
Astana,Kazakhstan
Hanoi,Vietnam
Vientiane,Laos
Jakarta,Indonesia
Khartoum,Sudan
Tunis,Tunisia
Nairobi,Kenya
Baku,Azerbaijan
Quito,Ecuador
Riyadh,Saudi_Arabia
Dakar,Senegal
Pyongyang,North_Korea
Manama,Bahrain
Tegucigalpa,Honduras
Tehran,Iran
New_Delhi,India
Damascus,Syria
Tbilisi,Georgia_(country)
Hanoi,French_Indochina
Algiers,Algeria
Aden,Yemen
Bandar_Seri_Begawan,Brunei
"Kingston,_Jamaica",Jamaica
Dili,East_Timor
Baghdad,Iraq
"Muscat,_Oman",Oman
Abu_Dhabi,United_Arab_Emirates
Bishkek,Kyrgyzstan
Amman,Jordan
Ankara,Turkey
Kiev,Ukraine
Manila,Philippines
Luanda,Angola
Sana'a,Yemen
