14868,335
6671,110006
3229,95
50500,65026
25292,284601
8566,3649
35985,497
3673,3672
30673,9176
917,969780
606,607
42335,13199
52783,45772
261,262
34186,25914
118857,508028
118996,4571088
45568,1127
37768,25979
50500,506776
917,508028
47006,43385
3090,3091
1974,8138
506671,508028
9320,9319
132,2336
44823,2202
1160742,1698227
6006,747
746,493896
146012,81685
431,432
20480,3862
752,146661
917,162817
10648,2304
13079,12981
746,146661
190896,49134
118857,408210
50500,4625
10801,2334
6006,146661
25292,25293
917,8971
1075,1076
6175,7088
917,2114516
351094,4571088
