Quedlinburg,Quedlinburg_Abbey
Hanover,Kingdom_of_Hanover
Magdeburg,Archbishopric_of_Magdeburg
Ansbach,Principality_of_Ansbach
Munich,Electorate_of_Bavaria
Cologne,Electorate_of_Cologne
Copenhagen,Denmark
Mainz,Electorate_of_Mainz
East_Berlin,East_Germany
Bamberg,Prince-Bishopric_of_Bamberg
East_Berlin,Allied-occupied_Germany
Berlin,Allied-occupied_Germany
Moscow,Russian_Empire
Berlin,Kingdom_of_Prussia
Prague,Czechoslovakia
Rome,Kingdom_of_Italy
Berlin,Margraviate_of_Brandenburg
Paris,France
Baku,Azerbaijan
Berlin,Prussia
Munich,Bavarian_Soviet_Republic
Rome,Italy
Baden-Baden,Allied-occupied_Germany
Kulmbach,Principality_of_Bayreuth
London,United_Kingdom
Moscow,Russia
Bonn,West_Germany
Stockholm,Sweden
Riga,Latvia
Munich,Kingdom_of_Bavaria
Free_City_of_Frankfurt,German_Confederation
Florence,Kingdom_of_Italy
Bonn,Electorate_of_Cologne
Copenhagen,Duchy_of_Schleswig
Moscow,Soviet_Union
Frankfurt,Allied-occupied_Germany
Schwerin,Grand_Duchy_of_Mecklenburg-Schwerin
Ankara,Turkey
Prague,Czech_Republic
Budapest,Austria-Hungary
Dhaka,Bangladesh
Amsterdam,Netherlands
Hanover,Principality_of_Calenberg
Berlin,Germany
Minsk,Belarus
