Zagreb,Croatia
"Toyama,_Toyama",Toyama_Prefecture
New_Delhi,India
Seoul,First_Republic_of_South_Korea
Baku,Azerbaijan
Doha,Qatar
Kuwait_City,Kuwait
Phnom_Penh,Cambodia
Belgrade,Serbia
Kathmandu,Nepal
Tashkent,Uzbekistan
Busan,First_Republic_of_South_Korea
Beijing,China
Kaesong,Goryeo
Bratislava,Slovakia
Gyeongju,Silla
Pyongyang,Goguryeo
Osaka,Osaka_Prefecture
Kuala_Lumpur,Malaysia
Astana,Kazakhstan
Hanoi,Vietnam
Pretoria,South_Africa
Canberra,Australia
Jakarta,Indonesia
Naypyidaw,Myanmar
Tunis,Tunisia
"Saitama,_Saitama",Saitama_Prefecture
Seoul,Joseon
Vientiane,Laos
Sapporo,Hokkaido
Juba,South_Sudan
Ulaanbaatar,Mongolia
Pyongyang,North_Korea
Rome,Italy
Tehran,Iran
Seoul,Korean_Empire
Yerevan,Armenia
Seoul,South_Korea
Taipei,Taiwan
"Columbia,_South_Carolina",South_Carolina
Kaesong,Taebong
Dalian,Kwantung_Leased_Territory
Seoul,Provisional_Government_of_the_Republic_of_Korea
Manila,Philippines
Bloemfontein,South_Africa
Tokyo,Japan
"Aomori,_Aomori",Aomori_Prefecture
Santiago,Chile
Amsterdam,Netherlands
Berlin,Germany
Cape_Town,South_Africa
