Zagreb,Croatia
Luxembourg_City,Luxembourg
Tashkent,Uzbekistan
Cairo,Egypt
Beirut,Lebanon
Warsaw,Poland
Minsk,Belarus
Antananarivo,Madagascar
City_of_Brussels,Belgium
Bratislava,Slovakia
London,United_Kingdom
Bern,Switzerland
Port_Louis,Mauritius
Oslo,Norway
"Victoria,_Seychelles",Seychelles
Tunis,Tunisia
Havana,Cuba
Paris,France
Baku,Azerbaijan
Mexico_City,Mexico
Riyadh,Saudi_Arabia
Dakar,Senegal
Vienna,Austria
Rome,Italy
Tehran,Iran
Tallinn,Estonia
Yerevan,Armenia
Santiago,Chile
Damascus,Syria
Budapest,Hungary
Tbilisi,Georgia_(country)
Port_Vila,Vanuatu
Moscow,Russia
Stockholm,Sweden
Algiers,Algeria
Kiev,Ukraine
Copenhagen,Denmark
Papeete,French_Polynesia
Amman,Jordan
Doha,Qatar
Lima,Peru
"Moroni,_Comoros",Comoros
Prague,Czech_Republic
Bangkok,Thailand
Amsterdam,Netherlands
Berlin,Germany
Cape_Town,South_Africa
Changchun,Manchukuo
