Colombo,Sri_Lanka
Kinshasa,Zaire
Bridgetown,Barbados
Maputo,People's_Republic_of_Mozambique
Cairo,Egypt
Rabat,Morocco
Paramaribo,Suriname
Dhaka,Bangladesh
Belmopan,Belize
Kathmandu,Nepal
Bamako,Mali
Accra,Ghana
Kuala_Lumpur,Malaysia
Port_Louis,Mauritius
Abidjan,Ivory_Coast
Canberra,Australia
Dar_es_Salaam,Tanganyika
Accra,Gold_Coast_(British_colony)
Harare,Rhodesia
Khartoum,Sudan
Gaborone,Bechuanaland_Protectorate
Nairobi,Kenya
Khartoum,Anglo-Egyptian_Sudan
"Georgetown,_Guyana",Guyana
Riyadh,Saudi_Arabia
Nairobi,East_Africa_Protectorate
Harare,Zimbabwe_Rhodesia
Abomey,Dahomey
Porto-Novo,Benin
Kinshasa,Democratic_Republic_of_the_Congo
Kinshasa,Belgian_Congo
Luanda,Portuguese_Angola
Port_Vila,Vanuatu
Lusaka,Zambia
Castries,Saint_Lucia
Banjul,The_Gambia
Algiers,Algeria
Roseau,Dominica
Maputo,Portuguese_Mozambique
"Kingston,_Jamaica",Jamaica
Dili,East_Timor
Luanda,Angola
Lusaka,Northern_Rhodesia
"Muscat,_Oman",Oman
Bishkek,Kyrgyzstan
Maputo,Mozambique
Ouagadougou,Burkina_Faso
Harare,Zimbabwe
