Zagreb,Croatia
Cairo,Khedivate_of_Egypt
Colombo,Sri_Lanka
Cairo,Egypt
Valletta,Malta
Baghdad,Kingdom_of_Iraq
Bishkek,Kirghiz_Soviet_Socialist_Republic
Minsk,Belarus
Podgorica,Montenegro
Kathmandu,Nepal
Montevideo,Uruguay
Amman,Jordan
Nicosia,Cyprus
Istanbul,Ottoman_Empire
Islamabad,Pakistan
Kuala_Lumpur,Malaysia
Port_Louis,Mauritius
Vilnius,Lithuania
Astana,Kazakhstan
Sarajevo,Bosnia_and_Herzegovina
Khartoum,Sudan
Sofia,Bulgaria
Nairobi,Kenya
Bucharest,Romania
Riyadh,Saudi_Arabia
Pyongyang,North_Korea
Qabala,Caucasian_Albania
Tehran,Iran
Bursa,Ottoman_Empire
Cairo,United_Arab_Republic
Ottawa,Canada
Budapest,Hungary
Havana,Cuba
Caracas,Venezuela
Riga,Latvia
Algiers,Algeria
Rabat,Morocco
Ljubljana,Slovenia
Baghdad,Iraq
"Muscat,_Oman",Oman
Bishkek,Kyrgyzstan
Kabul,Afghanistan
Cairo,Kingdom_of_Egypt
Ankara,Turkey
Prague,Czech_Republic
Amsterdam,Netherlands
Luanda,Angola
Berlin,Germany
