"Toyama,_Toyama",Toyama_Prefecture
"Takamatsu,_Kagawa",Kagawa_Prefecture
Hiroshima,Hiroshima_Prefecture
"Mito,_Ibaraki",Ibaraki_Prefecture
"Wakayama,_Wakayama",Wakayama_Prefecture
"Matsuyama,_Ehime",Ehime_Prefecture
Kumamoto,Kumamoto_Prefecture
Seoul,South_Korea
Osaka,Osaka_Prefecture
Kuala_Lumpur,Malaysia
"Shizuoka,_Shizuoka",Shizuoka_Prefecture
Astana,Kazakhstan
Kyoto,Ashikaga_shogunate
Nagoya,Aichi_Prefecture
Naypyidaw,Myanmar
Maebashi,Gunma_Prefecture
Utsunomiya,Tochigi_Prefecture
"Chiba,_Chiba",Chiba_Prefecture
"Saitama,_Saitama",Saitama_Prefecture
"Niigata,_Niigata",Niigata_Prefecture
Seoul,Joseon
"Fukui,_Fukui",Fukui_Prefecture
"Tottori,_Tottori",Tottori_Prefecture
Sapporo,Hokkaido
"Yamaguchi,_Yamaguchi",Yamaguchi_Prefecture
Pyongyang,North_Korea
Kagoshima,Kagoshima_Prefecture
"Tokushima,_Tokushima",Tokushima_Prefecture
Tehran,Iran
Seoul,Korean_Empire
Tokyo,Occupation_of_Japan
Naha,Okinawa_Prefecture
Nagasaki,Nagasaki_Prefecture
Dalian,Kwantung_Leased_Territory
Fukuoka,Fukuoka_Prefecture
"Akita,_Akita",Akita_Prefecture
Honolulu,Hawaii
Yokohama,Kanagawa_Prefecture
Tokyo,Japan
Okayama,Okayama_Prefecture
"Aomori,_Aomori",Aomori_Prefecture
Kyoto,Kyoto_Prefecture
Kuala_Lumpur,Japanese_occupation_of_Malaya
"Miyazaki,_Miyazaki",Miyazaki_Prefecture
"Yamagata,_Yamagata",Yamagata_Prefecture
Morioka,Iwate_Prefecture
"Tsu,_Mie",Mie_Prefecture
"Fukushima,_Fukushima",Fukushima_Prefecture
Edo,Tokugawa_shogunate
