"Toyama,_Toyama",Toyama_Prefecture
"Takamatsu,_Kagawa",Kagawa_Prefecture
Hiroshima,Hiroshima_Prefecture
"Mito,_Ibaraki",Ibaraki_Prefecture
"Wakayama,_Wakayama",Wakayama_Prefecture
"Matsuyama,_Ehime",Ehime_Prefecture
Chiba_Prefecture,"Chiba,_Chiba"
Kumamoto,Kumamoto_Prefecture
Sendai,Miyagi_Prefecture
Okayama,Okayama_Prefecture
Seoul,South_Korea
Osaka,Osaka_Prefecture
Kuala_Lumpur,Malaysia
"Shizuoka,_Shizuoka",Shizuoka_Prefecture
Kyoto,Ashikaga_shogunate
Nagoya,Aichi_Prefecture
Maebashi,Gunma_Prefecture
Utsunomiya,Tochigi_Prefecture
"Saitama,_Saitama",Saitama_Prefecture
"Niigata,_Niigata",Niigata_Prefecture
Seoul,Joseon
"Fukushima,_Fukushima",Fukushima_Prefecture
"Fukui,_Fukui",Fukui_Prefecture
"Tottori,_Tottori",Tottori_Prefecture
Sapporo,Hokkaido
"Yamaguchi,_Yamaguchi",Yamaguchi_Prefecture
Pyongyang,North_Korea
Kagoshima,Kagoshima_Prefecture
"Nara,_Nara",Nara_Prefecture
"Tokushima,_Tokushima",Tokushima_Prefecture
Seoul,Korean_Empire
Tokyo,Occupation_of_Japan
Naha,Okinawa_Prefecture
Budapest,Hungary
Nagasaki,Nagasaki_Prefecture
Fukuoka,Fukuoka_Prefecture
"Akita,_Akita",Akita_Prefecture
Honolulu,Hawaii
Yokohama,Kanagawa_Prefecture
Tokyo,Japan
Amman,Jordan
"Aomori,_Aomori",Aomori_Prefecture
Kyoto,Kyoto_Prefecture
Kuala_Lumpur,Japanese_occupation_of_Malaya
"Miyazaki,_Miyazaki",Miyazaki_Prefecture
"Yamagata,_Yamagata",Yamagata_Prefecture
Morioka,Iwate_Prefecture
"Tsu,_Mie",Mie_Prefecture
Edo,Tokugawa_shogunate
