Zagreb,Croatia
Prague,First_Czechoslovak_Republic
Cairo,Egypt
Prague,Habsburg_Monarchy
Budapest,Lands_of_the_Crown_of_Saint_Stephen
Valletta,Malta
Rabat,Morocco
Vilnius,Lithuania
Munich,Electorate_of_Bavaria
Zagreb,Kingdom_of_Croatia_(Habsburg)
Lviv,Kingdom_of_Galicia_and_Lodomeria
Podgorica,Montenegro
Montevideo,Uruguay
Vienna,Archduchy_of_Austria
Nicosia,Cyprus
Berlin,Allied-occupied_Germany
Berlin,Kingdom_of_Prussia
Prague,Czechoslovakia
Astana,Kazakhstan
Sarajevo,Bosnia_and_Herzegovina
Vienna,Habsburg_Monarchy
Nairobi,Kenya
Bucharest,Romania
Vienna,Federal_State_of_Austria
Berlin,Prussia
Sofia,Bulgaria
Tunis,Tunisia
Vienna,Austria-Hungary
Tehran,Iran
Budapest,Kingdom_of_Hungary
Budapest,Hungary
Havana,Cuba
Brno,Margraviate_of_Moravia
Caracas,Venezuela
Bonn,West_Germany
Riga,Latvia
Dublin,Republic_of_Ireland
Munich,Kingdom_of_Bavaria
Algiers,Algeria
Ljubljana,Slovenia
Frankfurt,Allied-occupied_Germany
Tokyo,Japan
Ankara,Turkey
Prague,Czech_Republic
Budapest,Austria-Hungary
Prague,Duchy_of_Bohemia
Amsterdam,Netherlands
Berlin,Germany
Minsk,Belarus
