Colombo,Sri_Lanka
Kinshasa,Zaire
Cairo,Egypt
Baghdad,Kingdom_of_Iraq
Bishkek,Kirghiz_Soviet_Socialist_Republic
Dhaka,Bangladesh
Minsk,Belarus
Harare,Zimbabwe
Kathmandu,Nepal
Kabul,Kabul_Shahi
Montevideo,Uruguay
Santo_Domingo,Dominican_Republic
Bamako,Mali
Amman,Jordan
Nicosia,Cyprus
Kandahar,Durrani_Empire
Amol,Bavand_dynasty
Kuala_Lumpur,Malaysia
Astana,Kazakhstan
Baghdad,Buyid_dynasty
Kabul,Durrani_Empire
Khartoum,Sudan
Nairobi,Kenya
Bucharest,Romania
Herat,Durrani_Empire
Riyadh,Saudi_Arabia
Pyongyang,North_Korea
Qabala,Caucasian_Albania
Islamabad,Pakistan
Lahore,Ghaznavids
Almaty,Kazakh_Soviet_Socialist_Republic
Budapest,Hungary
Havana,Cuba
Karachi,West_Pakistan
Kabul,Democratic_Republic_of_Afghanistan
Algiers,Algeria
Rabat,Morocco
Lahore,West_Pakistan
Ouagadougou,Burkina_Faso
Kandahar,Islamic_Emirate_of_Afghanistan
Baghdad,Iraq
"Muscat,_Oman",Oman
Islamabad,West_Pakistan
Bishkek,Kyrgyzstan
Kabul,Afghanistan
Ankara,Turkey
Prague,Czech_Republic
Kabul,Afghan_Transitional_Administration
"Sari,_Iran",Bavand_dynasty
Luanda,Angola
