Astana,Kazakhstan
Granada,Emirate_of_Granada
Budapest,Hungary
Mexico_City,New_Spain
Maputo,People's_Republic_of_Mozambique
Cairo,Egypt
Beirut,Lebanon
Rabat,Morocco
Minsk,Belarus
Rio_de_Janeiro,Empire_of_Brazil
Belmopan,Belize
Belgrade,Serbia
Rio_de_Janeiro,"United_Kingdom_of_Portugal,_Brazil_and_the_Algarves"
Belgrade,Serbia_and_Montenegro
Nicosia,Cyprus
London,United_Kingdom
Prague,Czechoslovakia
Bern,Switzerland
Rio_de_Janeiro,Colonial_Brazil
Oslo,Norway
Sarajevo,Bosnia_and_Herzegovina
Colombo,Portuguese_Ceylon
Bucharest,Romania
Paris,France
Baku,Azerbaijan
Mexico_City,Mexico
Athens,Greece
Dakar,Senegal
Rome,Italy
Santiago,Chile
Luanda,Portuguese_Angola
Rio_de_Janeiro,First_Brazilian_Republic
Moscow,Russia
Stockholm,Sweden
Riga,Latvia
Dublin,Republic_of_Ireland
Algiers,Algeria
Maputo,Portuguese_Mozambique
Ljubljana,Slovenia
Santiago_de_Compostela,Kingdom_of_Galicia
Copenhagen,Denmark
Andorra_la_Vella,Andorra
Bissau,Guinea-Bissau
Ankara,Turkey
Prague,Czech_Republic
Maputo,Mozambique
Amsterdam,Netherlands
Luanda,Angola
Berlin,Germany
