Colombo,Sri_Lanka
Kinshasa,Zaire
Baghdad,Buyid_dynasty
Cairo,Egypt
Dili,United_Nations_Transitional_Administration_in_East_Timor
Delhi,Lodi_dynasty
Baghdad,Kingdom_of_Iraq
Bishkek,Kirghiz_Soviet_Socialist_Republic
Dhaka,Bangladesh
Islamabad,Pakistan
Kathmandu,Nepal
Karachi,Dominion_of_Pakistan
Bamako,Mali
Amman,Jordan
Kandahar,Durrani_Empire
Astana,Kazakhstan
Abidjan,Ivory_Coast
Kabul,Durrani_Empire
Lahore,Mughal_Empire
Santo_Domingo,Dominican_Republic
Khartoum,Sudan
Nairobi,Kenya
Herat,Durrani_Empire
Herat,Timurid_Empire
Riyadh,Saudi_Arabia
Peshawar,Durrani_Empire
Pyongyang,North_Korea
Kinshasa,Democratic_Republic_of_the_Congo
Peshawar,Kushan_Empire
Delhi,Khilji_dynasty
Delhi,Mughal_Empire
Lusaka,Zambia
Karachi,West_Pakistan
Kabul,Democratic_Republic_of_Afghanistan
Lahore,Sikh_Empire
Algiers,Algeria
Rabat,Morocco
Lahore,West_Pakistan
Ouagadougou,Burkina_Faso
Kandahar,Islamic_Emirate_of_Afghanistan
Baghdad,Iraq
"Muscat,_Oman",Oman
Islamabad,West_Pakistan
Bishkek,Kyrgyzstan
Kabul,Afghanistan
Dili,East_Timor
Ankara,Turkey
Kabul,Afghan_Transitional_Administration
Delhi,Delhi_Sultanate
Baghdad,Coalition_Provisional_Authority
Luanda,Angola
