Colombo,Sri_Lanka
Cairo,Egypt
Rabat,Morocco
Ayodhya,Kosala
Dhaka,Bangladesh
Chiang_Mai,Lan_Na
Kathmandu,Nepal
Mahoba,Chandela
Karachi,Dominion_of_Pakistan
Bamako,Mali
Kathmandu,Kingdom_of_Nepal
Nicosia,Cyprus
Seoul,South_Korea
Islamabad,Pakistan
Kuala_Lumpur,Malaysia
Port_Louis,Mauritius
Astana,Kazakhstan
Pataliputra,Magadha
Canberra,Australia
Khartoum,Sudan
Tunis,Tunisia
Nairobi,Kenya
Amman,Jordan
Cuttack,Eastern_Ganga_dynasty
Vientiane,Laos
Guatemala_City,Guatemala
Riyadh,Saudi_Arabia
Naypyidaw,Myanmar
Pyongyang,North_Korea
Monrovia,Liberia
Tehran,Iran
Kahlur,"Bilaspur,_Himachal_Pradesh"
Ayodhya,Kosala_Kingdom
Rajgir,Magadha
Kuala_Lumpur,Federation_of_Malaya
Lusaka,Zambia
Luang_Prabang,Lan_Xang
Algiers,Algeria
Harare,Zimbabwe
Dili,East_Timor
Baghdad,Iraq
"Muscat,_Oman",Oman
Bishkek,Kyrgyzstan
Kabul,Afghanistan
Ankara,Turkey
Cuttack,Gajapati_Kingdom
Bhopal,Bhopal_State
Maputo,Mozambique
Luanda,Angola
Nabadwip,Sena_dynasty
