Mexico_City,Mexico
New_Delhi,India
Budapest,Hungary
Managua,Nicaragua
Cairo,Egypt
Beirut,Lebanon
Bishkek,Kirghiz_Soviet_Socialist_Republic
Dhaka,Bangladesh
Hanoi,Vietnam
N'Djamena,Chad
Kathmandu,Nepal
Tainan,Republic_of_Formosa
Santo_Domingo,Dominican_Republic
Ashgabat,Turkmenistan
Nicosia,Cyprus
Tainan,Kingdom_of_Tungning
Kuala_Lumpur,Malaysia
Astana,Kazakhstan
Taiwan,Kingdom_of_Tungning
Jakarta,Indonesia
Khartoum,Sudan
Hanoi,North_Vietnam
Nairobi,Kenya
Zhangye,Northern_Liang
Paris,France
Guatemala_City,Guatemala
Athens,Greece
Pyongyang,North_Korea
Nanjing,Ming_dynasty
Caracas,Venezuela
Rome,Italy
Santiago,Chile
Guangzhou,Southern_Han
Ottawa,Canada
Moscow,Russia
Hanoi,French_Indochina
Nanjing,Southern_Tang
Xianyang,Qin_dynasty
Penang,Straits_Settlements
"Muscat,_Oman",Oman
Bishkek,Kyrgyzstan
Panama_City,Panama
Bern,Switzerland
Ankara,Turkey
Nanjing,Reformed_Government_of_the_Republic_of_China
Bangkok,Thailand
Baku,Azerbaijan
Berlin,Germany
Cape_Town,South_Africa
