Zagreb,Croatia
Rio_de_Janeiro,Colonial_Brazil
Belgrade,Serbia_and_Montenegro
Mexico_City,New_Spain
Kuwait_City,Kuwait
Malacca_City,Portuguese_Malacca
Cairo,Egypt
Rabat,Morocco
Vilnius,Lithuania
Minsk,Belarus
Rio_de_Janeiro,Empire_of_Brazil
Belgrade,Serbia
Montevideo,Uruguay
London,United_Kingdom
Prague,Czechoslovakia
Bern,Switzerland
Rio_de_Janeiro,"United_Kingdom_of_Portugal,_Brazil_and_the_Algarves"
Astana,Kazakhstan
Oslo,Norway
Perpignan,Kingdom_of_Majorca
Dublin,Republic_of_Ireland
Tunis,Tunisia
Bucharest,Romania
Paris,France
"Palma,_Majorca",Kingdom_of_Majorca
Mexico_City,Mexico
Vienna,Austria
Sofia,Bulgaria
Rome,Italy
Santiago,Chile
Budapest,Hungary
Luanda,Portuguese_Angola
Rio_de_Janeiro,First_Brazilian_Republic
Stockholm,Sweden
Riga,Latvia
Dili,Portuguese_Timor
Havana,Captaincy_General_of_Cuba
Baku,Azerbaijan
Ljubljana,Slovenia
Copenhagen,Denmark
Tokyo,Japan
Amman,Jordan
Dili,East_Timor
Ankara,Turkey
Kiev,Ukraine
Prague,Czech_Republic
Tallinn,Estonia
Amsterdam,Netherlands
Luanda,Angola
Berlin,Germany
