Cairo,Egypt
Brussels,European_Union
Amsterdam,United_Kingdom_of_the_Netherlands
Paris,Kingdom_of_France
Minsk,Belarus
Jerusalem,Israel
Enschede,Twente
Bamako,Mali
Nicosia,Cyprus
London,United_Kingdom
Prague,Czechoslovakia
Brussels,European_Economic_Community
Astana,Kazakhstan
Oslo,Norway
Brussels,United_Kingdom_of_the_Netherlands
Sarajevo,Republic_of_Bosnia_and_Herzegovina
Sarajevo,Bosnia_and_Herzegovina
Bucharest,Romania
Paris,France
Baku,Azerbaijan
Athens,Greece
Lille,County_of_Flanders
Dakar,Senegal
Amsterdam,Dutch_Republic
Manama,Bahrain
Rome,Italy
Kinshasa,Democratic_Republic_of_the_Congo
Santiago,Chile
Ottawa,Canada
Budapest,Hungary
Moscow,Russia
Bonn,West_Germany
Stockholm,Sweden
Riga,Latvia
Dublin,Republic_of_Ireland
Middelburg,County_of_Zeeland
Algiers,Algeria
Rabat,Morocco
Ljubljana,Slovenia
Amsterdam,Kingdom_of_the_Netherlands
Copenhagen,Denmark
Andorra_la_Vella,Andorra
Bern,Switzerland
Ghent,County_of_Flanders
Ankara,Turkey
Prague,Czech_Republic
Amsterdam,Netherlands
Ouagadougou,Burkina_Faso
Berlin,Germany
Brussels,Seventeen_Provinces
