George_W._Bush,Laura_Bush
Julie_Nixon_Eisenhower,David_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
George_H._W._Bush,Barbara_Bush
Jacqueline_Kennedy_Onassis,John_F._Kennedy
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
Aristotle_Onassis,Jacqueline_Kennedy_Onassis
John_Adams,Abigail_Adams
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Babe_Paley,William_S._Paley
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Henry_Luce,Clare_Boothe_Luce
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Ralph_Forbes,Ruth_Chatterton
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Malcolm_X,Betty_Shabazz
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Nelson_Mandela,Winnie_Madikizela-Mandela
Dwight_D._Eisenhower,Mamie_Eisenhower
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Gene_Kelly,Betsy_Blair
Sargent_Shriver,Eunice_Kennedy_Shriver
Winnie_Madikizela-Mandela,Nelson_Mandela
Orson_Welles,Rita_Hayworth
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
John_Warner,Elizabeth_Taylor
