George_W._Bush,Laura_Bush
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Lindy_Boggs,Hale_Boggs
Bill_Clinton,Hillary_Clinton
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
Margaret_Thatcher,Denis_Thatcher
George_H._W._Bush,Barbara_Bush
Melinda_Gates,Bill_Gates
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
John_Travolta,Kelly_Preston
John_Adams,Abigail_Adams
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Dick_Cheney,Lynne_Cheney
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Malcolm_X,Betty_Shabazz
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Bob_Dole,Elizabeth_Dole
Elton_John,David_Furnish
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Nancy_Reagan,Ronald_Reagan
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Theodore_Olson,Barbara_Olson
David_Eisenhower,Julie_Nixon_Eisenhower
Jim_Bakker,Tammy_Faye_Messner
Nicholas_Longworth,Alice_Roosevelt_Longworth
Victoria_Nuland,Robert_Kagan
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Elaine_Chao,Mitch_McConnell
