George_W._Bush,Laura_Bush
Julie_Nixon_Eisenhower,David_Eisenhower
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Donnie_Wahlberg,Jenny_McCarthy
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
George_Hearst,Phoebe_Hearst
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
Mary_Todd_Lincoln,Abraham_Lincoln
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Malcolm_X,Betty_Shabazz
Ronald_Reagan,Jane_Wyman
William_Hurt,Mary_Beth_Hurt
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Kristen_Bell,Dax_Shepard
Herbert_Hoover,Lou_Henry_Hoover
Abigail_Adams,John_Adams
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Daniel_Day-Lewis,Rebecca_Miller
