George_Washington,Martha_Washington
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Charles_Lindbergh,Anne_Morrow_Lindbergh
James_Madison,Dolley_Madison
Ulysses_S._Grant,Julia_Grant
Andrew_Jackson,Rachel_Jackson
George_H._W._Bush,Barbara_Bush
W._Averell_Harriman,Pamela_Harriman
George_W._Bush,Laura_Bush
Franklin_D._Roosevelt,Eleanor_Roosevelt
Presidency_of_Bill_Clinton,Hillary_Clinton
Bill_Clinton,Hillary_Clinton
Presidency_of_Ronald_Reagan,Jane_Wyman
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Ronald_Reagan,Jane_Wyman
Robert_F._Kennedy,Ethel_Kennedy
Dwight_D._Eisenhower,Mamie_Eisenhower
Richard_Nixon,Pat_Nixon
Presidency_of_Barack_Obama,Michelle_Obama
Herbert_Hoover,Lou_Henry_Hoover
Presidency_of_Ronald_Reagan,Nancy_Reagan
Jimmy_Carter,Rosalynn_Carter
