Jane_Fonda,Tom_Hayden
Barack_Obama,Michelle_Obama
Danny_DeVito,Rhea_Perlman
Bob_Dole,Elizabeth_Dole
Nicolas_Cage,Lisa_Marie_Presley
Chris_Hemsworth,Elsa_Pataky
Howard_Hughes,Jean_Peters
George_H._W._Bush,Barbara_Bush
Ronald_Reagan,Nancy_Reagan
Steven_Spielberg,Amy_Irving
Michelle_Obama,Barack_Obama
Rupert_Murdoch,Jerry_Hall
Tom_Cruise,Katie_Holmes
Brad_Pitt,Jennifer_Aniston
Natalie_Portman,Benjamin_Millepied
Charlie_Chaplin,Mildred_Harris
Carmen_Electra,Dave_Navarro
Bill_Williams_(actor),Barbara_Hale
Phil_Donahue,Marlo_Thomas
Hosni_Mubarak,Suzanne_Mubarak
Paula_Yates,Bob_Geldof
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Jill_Biden,Joe_Biden
Arianna_Huffington,Michael_Huffington
Dennis_Hopper,Michelle_Phillips
Bill_Clinton,Hillary_Clinton
Tom_Hanks,Rita_Wilson
Halle_Berry,Olivier_Martinez
Harrison_Ford,Calista_Flockhart
Orlando_Bloom,Miranda_Kerr
Cameron_Diaz,Benji_Madden
Jerry_Weintraub,Jane_Morgan
Herbert_Hoover,Lou_Henry_Hoover
Burt_Reynolds,Loni_Anderson
Richard_Nixon,Pat_Nixon
Dick_Cheney,Lynne_Cheney
Jennifer_Aniston,Justin_Theroux
Bill_Gates,Melinda_Gates
Steve_Irwin,Terri_Irwin
Tom_Cruise,Mimi_Rogers
Carl_Sagan,Ann_Druyan
John_Cleese,Connie_Booth
Richard_Gere,Cindy_Crawford
Steven_Spielberg,Kate_Capshaw
Peter_Sellers,Britt_Ekland
Woody_Allen,Louise_Lasser
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
