Laura_Bush,George_W._Bush
Julie_Nixon_Eisenhower,David_Eisenhower
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Bryan_Forbes,Nanette_Newman
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
D._W._Griffith,Linda_Arvidson
Margaret_Thatcher,Denis_Thatcher
George_H._W._Bush,Barbara_Bush
Melinda_Gates,Bill_Gates
Theodore_Roosevelt,Edith_Roosevelt
Nicolas_Sarkozy,Carla_Bruni
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
George_P._Putnam,Amelia_Earhart
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
George_Peppard,Elizabeth_Ashley
Theodore_Olson,Barbara_Olson
Hale_Boggs,Lindy_Boggs
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Elaine_Chao,Mitch_McConnell
