Gordon_Brown,Sarah_Jane_Brown
Julie_Nixon_Eisenhower,David_Eisenhower
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
Lyndon_B._Johnson,Lady_Bird_Johnson
George_H._W._Bush,Barbara_Bush
Mamie_Eisenhower,Dwight_D._Eisenhower
Melinda_Gates,Bill_Gates
Theodore_Roosevelt,Edith_Roosevelt
Asif_Ali_Zardari,Benazir_Bhutto
Laura_Bush,George_W._Bush
Hosni_Mubarak,Suzanne_Mubarak
Nancy_Reagan,Ronald_Reagan
James_Carville,Mary_Matalin
Jill_Biden,Joe_Biden
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Ronald_Reagan,Nancy_Reagan
Joseph_C._Wilson,Valerie_Plame
Herbert_Hoover,Lou_Henry_Hoover
Nelson_Mandela,Winnie_Madikizela-Mandela
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Richard_Nixon,Pat_Nixon
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Theodore_Olson,Barbara_Olson
Franklin_D._Roosevelt,Eleanor_Roosevelt
Elizabeth_Taylor,John_Warner
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Elaine_Chao,Mitch_McConnell
