George_W._Bush,Laura_Bush
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
Ann_Dvorak,Leslie_Fenton
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
D._W._Griffith,Linda_Arvidson
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
Aristotle_Onassis,Jacqueline_Kennedy_Onassis
John_Adams,Abigail_Adams
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Joe_Biden,Jill_Biden
Fritz_Feld,Virginia_Christine
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Malcolm_X,Betty_Shabazz
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Michelle_Rhee,Kevin_Johnson
Sargent_Shriver,Eunice_Kennedy_Shriver
Hale_Boggs,Lindy_Boggs
David_Eisenhower,Julie_Nixon_Eisenhower
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Elaine_Chao,Mitch_McConnell
