George_W._Bush,Laura_Bush
Julie_Nixon_Eisenhower,David_Eisenhower
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Lindy_Boggs,Hale_Boggs
Bill_Clinton,Hillary_Clinton
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
Ralph_Forbes,Heather_Angel_(actress)
Howard_Hughes,Jean_Peters
D._W._Griffith,Linda_Arvidson
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
"Waldorf_Astor,_2nd_Viscount_Astor","Nancy_Astor,_Viscountess_Astor"
John_Adams,Abigail_Adams
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Luther_Adler,Sylvia_Sidney
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Henry_Luce,Clare_Boothe_Luce
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Ralph_Forbes,Ruth_Chatterton
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Bob_Dole,Elizabeth_Dole
Sargent_Shriver,Eunice_Kennedy_Shriver
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Nelson_Mandela,Winnie_Madikizela-Mandela
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Alva_Belmont,William_Kissam_Vanderbilt
Bill_Gates,Melinda_Gates
"Archibald_Primrose,_5th_Earl_of_Rosebery","Hannah_Primrose,_Countess_of_Rosebery"
Arnold_Schwarzenegger,Maria_Shriver
Nicholas_Longworth,Alice_Roosevelt_Longworth
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
