George_Washington,Martha_Washington
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Lyndon_B._Johnson,Lady_Bird_Johnson
Howard_Hughes,Jean_Peters
Mary_Todd_Lincoln,Abraham_Lincoln
George_H._W._Bush,Barbara_Bush
Mamie_Eisenhower,Dwight_D._Eisenhower
Theodore_Roosevelt,Edith_Roosevelt
Alice_Roosevelt_Longworth,Nicholas_Longworth
Eunice_Kennedy_Shriver,Sargent_Shriver
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
"Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma","Edwina_Mountbatten,_Countess_Mountbatten_of_Burma"
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Sargent_Shriver,Eunice_Kennedy_Shriver
Bess_Truman,Harry_S._Truman
David_Eisenhower,Julie_Nixon_Eisenhower
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Elaine_Chao,Mitch_McConnell
