George_W._Bush,Laura_Bush
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
John_Hodiak,Anne_Baxter
Elvis_Presley,Priscilla_Presley
Ralph_Forbes,Ruth_Chatterton
Bob_Dole,Elizabeth_Dole
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
Ralph_Forbes,Heather_Angel_(actress)
Howard_Hughes,Jean_Peters
John_Huston,Evelyn_Keyes
Elizabeth_Taylor,Eddie_Fisher_(singer)
George_H._W._Bush,Barbara_Bush
John_Lennon,Yoko_Ono
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
John_Travolta,Kelly_Preston
"Prince_Edward,_Duke_of_Kent","Katharine,_Duchess_of_Kent"
John_Adams,Abigail_Adams
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Bill_Clinton,Hillary_Clinton
James_Madison,Dolley_Madison
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Malcolm_X,Betty_Shabazz
Marilyn_Monroe,Arthur_Miller
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Aristotle_Onassis,Jacqueline_Kennedy_Onassis
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Henry_Luce,Clare_Boothe_Luce
Andrew_Jackson,Rachel_Jackson
Elizabeth_Taylor,Richard_Burton
Bill_Gates,Melinda_Gates
Marilyn_Monroe,Joe_DiMaggio
Bess_Truman,Harry_S._Truman
John_Profumo,Valerie_Hobson
John_Lennon,Cynthia_Lennon
Elizabeth_Taylor,Michael_Wilding_(actor)
John_Edwards,Elizabeth_Edwards
