George_W._Bush,Laura_Bush
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
George_Washington,Martha_Washington
Lyndon_B._Johnson,Lady_Bird_Johnson
Howard_Hughes,Jean_Peters
D._W._Griffith,Linda_Arvidson
George_H._W._Bush,Barbara_Bush
Nelson_Mandela,Winnie_Madikizela-Mandela
Nicolas_Sarkozy,Carla_Bruni
Theodore_Roosevelt,Edith_Roosevelt
Rupert_Murdoch,Jerry_Hall
John_Adams,Abigail_Adams
Mamie_Eisenhower,Dwight_D._Eisenhower
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Pierre_Trudeau,Margaret_Trudeau
Henry_Luce,Clare_Boothe_Luce
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Bill_Clinton,Hillary_Clinton
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
Dolley_Madison,James_Madison
Dwight_D._Eisenhower,Mamie_Eisenhower
Andrew_Jackson,Rachel_Jackson
Jacqueline_Kennedy_Onassis,John_F._Kennedy
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Bess_Truman,Harry_S._Truman
David_Eisenhower,Julie_Nixon_Eisenhower
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
