Mitch_McConnell,Elaine_Chao
George_Washington,Martha_Washington
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Lindy_Boggs,Hale_Boggs
Bill_Clinton,Hillary_Clinton
Julie_Nixon_Eisenhower,David_Eisenhower
Lyndon_B._Johnson,Lady_Bird_Johnson
Margaret_Thatcher,Denis_Thatcher
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
John_Travolta,Kelly_Preston
John_Adams,Abigail_Adams
Alice_Roosevelt_Longworth,Nicholas_Longworth
George_W._Bush,Laura_Bush
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Malcolm_X,Betty_Shabazz
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Bob_Dole,Elizabeth_Dole
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Theodore_Olson,Barbara_Olson
Jim_Bakker,Tammy_Faye_Messner
Victoria_Nuland,Robert_Kagan
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
