Rick_Grimes,Lori_Grimes
George_Washington,Martha_Washington
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
George_Hearst,Phoebe_Hearst
Julie_Nixon_Eisenhower,David_Eisenhower
Lyndon_B._Johnson,Lady_Bird_Johnson
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
John_Adams,Abigail_Adams
Alice_Roosevelt_Longworth,Nicholas_Longworth
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
William_Hurt,Mary_Beth_Hurt
Ted_Hughes,Sylvia_Plath
Dwight_D._Eisenhower,Mamie_Eisenhower
Andrew_Jackson,Rachel_Jackson
Seth_Gabel,Bryce_Dallas_Howard
Dick_Cheney,Lynne_Cheney
Sargent_Shriver,Eunice_Kennedy_Shriver
Kristen_Bell,Dax_Shepard
Herbert_Hoover,Lou_Henry_Hoover
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
Daniel_Day-Lewis,Rebecca_Miller
