Mitch_McConnell,Elaine_Chao
George_W._Bush,Laura_Bush
Dwight_D._Eisenhower,Mamie_Eisenhower
Jean_Simmons,Stewart_Granger
James_Whitmore,Audra_Lindley
Ralph_Forbes,Ruth_Chatterton
Bob_Dole,Elizabeth_Dole
Lyndon_B._Johnson,Lady_Bird_Johnson
Ralph_Forbes,Heather_Angel_(actress)
Howard_Hughes,Jean_Peters
Elizabeth_Taylor,Eddie_Fisher_(singer)
Margaret_Thatcher,Denis_Thatcher
Henry_Fonda,Margaret_Sullavan
Ronald_Reagan,Nancy_Reagan
Theodore_Roosevelt,Edith_Roosevelt
Barack_Obama,Michelle_Obama
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Joan_Crawford,Franchot_Tone
Hosni_Mubarak,Suzanne_Mubarak
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Joan_Crawford,Douglas_Fairbanks_Jr.
Harry_S._Truman,Bess_Truman
James_Madison,Dolley_Madison
Richard_III_of_England,Anne_Neville
Tom_Hanks,Rita_Wilson
Abraham_Lincoln,Mary_Todd_Lincoln
Loretta_Young,Grant_Withers
Harrison_Ford,Calista_Flockhart
Joseph_C._Wilson,Valerie_Plame
Don_Johnson,Melanie_Griffith
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Richard_Burton,Elizabeth_Taylor
Bill_Gates,Melinda_Gates
Theodore_Olson,Barbara_Olson
Elizabeth_Taylor,Michael_Wilding_(actor)
Arnold_Schwarzenegger,Maria_Shriver
Clark_Gable,Carole_Lombard
Frank_Sinatra,Ava_Gardner
Joe_DiMaggio,Marilyn_Monroe
Victoria_Nuland,Robert_Kagan
John_Edwards,Elizabeth_Edwards
