George_W._Bush,Laura_Bush
Julie_Nixon_Eisenhower,David_Eisenhower
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
Dick_Ebersol,Susan_Saint_James
Lyndon_B._Johnson,Lady_Bird_Johnson
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Babe_Paley,William_S._Paley
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Henry_Luce,Clare_Boothe_Luce
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
George_Washington,Martha_Washington
Joseph_C._Wilson,Valerie_Plame
Ronald_Reagan,Jane_Wyman
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Richard_Burton,Elizabeth_Taylor
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Janet_Yellen,George_Akerlof
Theodore_Olson,Barbara_Olson
Hale_Boggs,Lindy_Boggs
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
John_Warner,Elizabeth_Taylor
Elaine_Chao,Mitch_McConnell
