Mitch_McConnell,Elaine_Chao
Gordon_Brown,Sarah_Jane_Brown
George_Washington,Martha_Washington
Dwight_D._Eisenhower,Mamie_Eisenhower
Barack_Obama,Michelle_Obama
Tom_Hayden,Jane_Fonda
Richard_Nixon,Pat_Nixon
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Bill_Clinton,Hillary_Clinton
Lyndon_B._Johnson,Lady_Bird_Johnson
George_H._W._Bush,Barbara_Bush
Theodore_Roosevelt,Edith_Roosevelt
John_Adams,Abigail_Adams
George_W._Bush,Laura_Bush
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Hosni_Mubarak,Suzanne_Mubarak
Nelson_Mandela,Winnie_Madikizela-Mandela
James_Carville,Mary_Matalin
Franklin_D._Roosevelt,Eleanor_Roosevelt
Arianna_Huffington,Michael_Huffington
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Joseph_C._Wilson,Valerie_Plame
Nicolas_Sarkozy,Carla_Bruni
Herbert_Hoover,Lou_Henry_Hoover
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Dick_Cheney,Lynne_Cheney
Bill_Gates,Melinda_Gates
Sargent_Shriver,Eunice_Kennedy_Shriver
Janet_Yellen,George_Akerlof
Theodore_Olson,Barbara_Olson
Asif_Ali_Zardari,Benazir_Bhutto
David_Eisenhower,Julie_Nixon_Eisenhower
John_Edwards,Elizabeth_Edwards
Jimmy_Carter,Rosalynn_Carter
