Mitch_McConnell,Elaine_Chao
Barack_Obama,Michelle_Obama
James_Whitmore,Audra_Lindley
James_Madison,Dolley_Madison
Bob_Dole,Elizabeth_Dole
Richard_II_of_England,Anne_of_Bohemia
Lyndon_B._Johnson,Lady_Bird_Johnson
Elizabeth_Taylor,Eddie_Fisher_(singer)
Theodore_Roosevelt,Edith_Roosevelt
Martin_Luther_King_Jr.,Coretta_Scott_King
John_Adams,Abigail_Adams
Alice_Roosevelt_Longworth,Nicholas_Longworth
Jacqueline_Kennedy_Onassis,Aristotle_Onassis
Eunice_Kennedy_Shriver,Sargent_Shriver
Joe_Biden,Jill_Biden
Joan_Crawford,Franchot_Tone
Aaron_Spelling,Carolyn_Jones
Hosni_Mubarak,Suzanne_Mubarak
Elvis_Presley,Priscilla_Presley
Henry_Luce,Clare_Boothe_Luce
Richard_II_of_England,Isabella_of_Valois
Joan_Crawford,Douglas_Fairbanks_Jr.
Harry_S._Truman,Bess_Truman
Arnold_Schwarzenegger,Maria_Shriver
Richard_III_of_England,Anne_Neville
Ronald_Reagan,Nancy_Reagan
Abraham_Lincoln,Mary_Todd_Lincoln
Joseph_C._Wilson,Valerie_Plame
Marilyn_Monroe,Joe_DiMaggio
John_F._Kennedy,Jacqueline_Kennedy_Onassis
Andrew_Jackson,Rachel_Jackson
Richard_Burton,Elizabeth_Taylor
Bill_Gates,Melinda_Gates
James_Carville,Mary_Matalin
Anne_Baxter,John_Hodiak
Theodore_Olson,Barbara_Olson
John_Profumo,Valerie_Hobson
Hale_Boggs,Lindy_Boggs
Elizabeth_Taylor,Michael_Wilding_(actor)
Arianna_Huffington,Michael_Huffington
Carl_Sagan,Ann_Druyan
John_Edwards,Elizabeth_Edwards
