1,Bill Gates is the founder of Microsoft.,[1]
2,Steve Jobs is the founder of Apple.,[1]
3,Larry Page is the founder of Google.,[1]
4,Sergey Brin is the founder of Google.,[1]
5,Steve Wozniak is the founder of Apple.,Evidence Not Found
6,Paul Allen is the founder of Microsoft.,Evidence Not Found
7,Mark ZuckerBerg is the founder of Facebook.,[1]
8,Elon Musk is the founder of Tesla.,[1]
9,Elon Musk is the founder of SpaceX.,Evidence Not Found
10,Elon Musk is the founder of Paypal.,Evidence Not Found
21,Jeff Bezos is the founder of Amazon.,Evidence Not Found
22,Gordon Moore is the founder of Intel.,Evidence Not Found
23,Jack Dorsey is the founder of Twitter.,[1]
24,Diane Greene is the founder of VMWare.,[1]
25,Travis Kalanick is the founder of Uber.,Evidence Not Found
11,Bill Gates is the founder of Apple.,Evidence Not Found
12,Steve Jobs is the founder of Microsoft.,Evidence Not Found
13,Larry Page is the founder of Apple.,Evidence Not Found
14,Sergey Brin is the founder of Microsoft.,Evidence Not Found
15,Steve Wozniak is the founder of Google.,Evidence Not Found
16,Paul Allen is the founder of Google.,Evidence Not Found
17,Mark ZuckerBerg is the founder of Tesla.,Evidence Not Found
18,Elon Musk is the founder of Facebook.,Evidence Not Found
19,Elon Musk is the founder of Apple.,Evidence Not Found
20,Elon Musk is the founder of Google.,Evidence Not Found
26,Jeff Bezos is the founder of Tesla.,Evidence Not Found
27,Jack Dorsey is the founder of Intel.,Evidence Not Found
28,Gordon Moore is the founder of Twitter.,Evidence Not Found
29,Diane Greene is the founder of Uber.,Evidence Not Found
30,Travis Kalanick is the founder of Facebook.,Evidence Not Found
