1,Google is located in Mountain View.,T,N
2,Microsoft is located in Redmond.,T,T
3,Facebook is located in Menlo Park.,T,F
4,Nvidia is located in Santa Clara.,T,F
5,Chevron is located in San Ramon.,T,F
6,Coursera is located in Mountain View.,T,F
7,Nike is located in Beaverton.,T,F
8,Synopsys is located in Mountain View.,T,F
9,Atari is located in Sunnyvale.,T,F
10,Netscape is located in Mountain View.,T,F
11,Quora is located in Mountain View.,T,F
12,Apple is located in Cupertino.,T,T
13,Samsung is located in South Korea.,T,F
14,Amazon is located in Seattle.,T,F
15,IBM is located in Armonk.,T,T
16,Dell is located in Austin.,T,T
17,Sony is located in Tokyo.,T,T
18,Intel is located in Santa Clara.,T,F
19,Toshiba is located in Tokyo.,T,F
20,Panasonic is located in Osaka.,T,T
21,Google is located in Redmond.,F,F
22,Microsoft is located in Mountain View.,F,F
23,Facebook is located in Santa Clara.,F,F
24,Nvidia is located in Menlo Park.,F,F
25,Chevron is located in Mountain View.,F,F
26,Coursera is located in San Ramon.,F,F
27,Nike is located in Mountain View.,F,F
28,Synopsys is located in Beaverton.,F,N
29,Atari is located in Mountain View.,F,F
30,Netscape is located in Sunnyvale.,F,F
31,Samsung is located in Mountain View.,F,F
32,Amazon is located in Cupertino.,F,F
33,Quora is located in South Korea.,F,F
34,Apple is located in Seattle.,F,T
35,Intel is located in Armonk.,F,F
36,Sony is located in Austin.,F,T
37,Dell is located in Tokyo.,F,F
38,IBM is located in Santa Clara.,F,F
39,Panasonic is located in Tokyo.,F,F
40,Toshiba is located in Osaka.,F,F
