numberOfEmployees("Sleep_Country_Canada","674").
keyPerson("Sleep_Country_Canada","Christine_Magee").
keyPerson("Sleep_Country_Canada","David_Friesma").
keyPerson("Sleep_Country_Canada","Stephen_K._Gunn").
locationCity("Sleep_Country_Canada","Toronto").
locationCountry("Sleep_Country_Canada","Canada").
birthPlace("Christine_Magee","Ontario").
birthPlace("Christine_Magee","Toronto").
location("Toronto","The_Annex").
nationality("Christine_Magee","Canadian").
birthYear("Christine_Magee","1959").
almaMater("Christine_Magee","University_of_Western_Ontario").
capital("Canada","Ottawa").
country("Toronto","Canada").
isPartOf("Toronto","East_York").
isPartOf("Toronto","Scarborough,_Toronto").
isPartOf("Toronto","Etobicoke").
isPartOf("Toronto","York,_Toronto").
isPartOf("Toronto","North_York").
isPartOf("Toronto","Old_Toronto").
largestCity("Canada","Toronto").
occupation("Christine_Magee","Christine_Magee__1").
type("Toronto","List_of_cities_in_Ontario").
birthPlace("Satya_Nadella","India").
birthPlace("Satya_Nadella","Hyderabad").
birthPlace("Satya_Nadella","Telangana").
birthYear("Satya_Nadella","1967").
almaMater("Satya_Nadella","Manipal_Institute_of_Technology").
almaMater("Satya_Nadella","University_of_Chicago_Booth_School_of_Business").
employer("Satya_Nadella","Microsoft_Corporation").
occupation("Satya_Nadella","Microsoft_Corporation").
occupation("Satya_Nadella","Satya_Nadella__1").
salary("Satya_Nadella","1.82E7").
networth("Steve_Ballmer","2.78E10").
birthPlace("Steve_Ballmer","Detroit").
birthPlace("Steve_Ballmer","Michigan").
birthPlace("Steve_Ballmer","United_States").
country("Telangana","India").
spouse("Steve_Ballmer","Connie Snyder").
type("Telangana","States_and_union_territories_of_India").
birthYear("Steve_Ballmer","1956").
affiliation("Manipal_Institute_of_Technology","Manipal_University").
almaMater("Steve_Ballmer","Stanford_Graduate_School_of_Business").
almaMater("Steve_Ballmer","Harvard_College").
capital("India","New_Delhi").
city("Manipal_Institute_of_Technology","Manipal").
country("Hyderabad","India").
country("Manipal_Institute_of_Technology","India").
isPartOf("Hyderabad","Sangareddy_district").
isPartOf("Hyderabad","Ranga_Reddy_district").
isPartOf("Hyderabad","Medak_district").
isPartOf("Hyderabad","South_India").
isPartOf("Hyderabad","Hyderabad_district,_India").
isPartOf("Hyderabad","Telangana").
isPartOf("Hyderabad","Deccan").
isPartOf("Hyderabad","Medchal-Malkajgiri_district").
largestCity("India","Mumbai").
residence("Steve_Ballmer","Hunts_Point,_Washington").
state("Manipal_Institute_of_Technology","Karnataka").
type("Hyderabad","Metropolis").
type("Manipal_Institute_of_Technology","Private_school").
