keyPerson("Kingdom_Holding_Company","Al-Waleed_bin_Talal").
type("Kingdom_Holding_Company","Holding_company").
birthPlace("Al-Waleed_bin_Talal","Jeddah").
location("Riyadh","Riyadh").
nationality("Al-Waleed_bin_Talal","Lebanon").
nationality("Al-Waleed_bin_Talal","Saudi_Arabia").
occupation("Al-Waleed_bin_Talal","Kingdom_Holding_Company").
occupation("Al-Waleed_bin_Talal","Al-Waleed_bin_Talal__1").
birthPlace("Madhusudhan_Rao_Lagadapati","Guntur").
birthPlace("Madhusudhan_Rao_Lagadapati","Andhra_Pradesh").
occupation("Madhusudhan_Rao_Lagadapati","Madhusudhan_Rao_Lagadapati__1").
location("Guntur","Guntur City").
type("Lanco_Infratech","Public company").
type("Andhra_Pradesh","States_of_India").
keyPerson("Lanco_Infratech","Lagadapati_Rajagopal").
keyPerson("Lanco_Infratech","Lagadapati_Madhusudhan_Rao").
type("Wayne_State_University","Public_university").
type("Guntur","City").
