Tiger_Woods,"Cypress,_California"
Dean_Haspiel,New_York_City
Jackson_Guice,"Chattanooga,_Tennessee"
Melinda_Gebbie,San_Francisco
Jim_Kelly,Pittsburgh
Basil_Wolverton,"Central_Point,_Oregon"
Bob_McLeod_(comics),"Tampa,_Florida"
Frank_Cho,Seoul
Larry_Hama,New_York_City
Paul_Smith_(comics),"Kansas_City,_Missouri"
Milt_Gross,The_Bronx
David_Duval,"Jacksonville,_Florida"
Milt_Gross,New_York_City
Antonio_Gates,Detroit
Al_Jaffee,"Savannah,_Georgia"
Mike_Mignola,"Berkeley,_California"
Steve_Rude,"Madison,_Wisconsin"
Matt_Fraction,"Chicago_Heights,_Illinois"
Jon_Runyan,"Flint,_Michigan"
Dennis_Conner,San_Diego
Scott_Kurtz,"Watsonville,_California"
Paul_Pope,Philadelphia
Mel_Renfro,Houston
