367033,637
33881,2484
1788605,10400
878861,1924
1669505,20107
1781606,1507
173042,69
483967,277
85196,2231
367033,636
611116,53
394409,52
83932,1915
173042,20107
611116,301
484041,637
1162700,2838
83269,12734
1781606,1508
878861,2231
98922,43313
47656,1345
523931,636
173042,128088
483967,4743
85540,52
408718,277
374960,2838
484030,2632
49579,52
76748,2632
507937,13218
1315240,54056
394409,11486
188126,1210
33998,637
3008910,4743
483967,69
42856,99567
823730,348
16875,277
84579,770
406978,3022
33998,636
85196,1915
484041,69
10205,1210
34603,5106
49579,53
379507,1251
