Dave_O'Brien_(sportscaster),"Quincy,_Massachusetts"
Neil_Castles,"Charlotte,_North_Carolina"
Dean_Haspiel,New_York_City
Melinda_Gebbie,San_Francisco
John_Arcudi,"Norwalk,_Connecticut"
Matthew_Fox_(priest),"Madison,_Wisconsin"
Jim_Nantz,"Charlotte,_North_Carolina"
Alex_Ross,"Portland,_Oregon"
William_Graham_Sumner,"Paterson,_New_Jersey"
Kyle_Baker,New_York_City
Mike_Mignola,"Berkeley,_California"
Peter_Kuper,"Summit,_New_Jersey"
Dan_Harrington,"Cambridge,_Massachusetts"
Jonathan_Larson,"White_Plains,_New_York"
Bob_Budiansky,The_Bronx
Cris_Collinsworth,"Dayton,_Ohio"
Norm_Breyfogle,"Iowa_City,_Iowa"
Phil_Hellmuth,"Madison,_Wisconsin"
Immanuel_Wallerstein,New_York_City
Paul_Smith_(comics),"Kansas_City,_Missouri"
Paul_Pope,Philadelphia
Charles_L._Mee,"Evanston,_Illinois"
