operatingIncome("Juniper_Networks","9.12E8").
numberOfEmployees("Juniper_Networks","9058").
foundedBy("Juniper_Networks","Pradeep_Sindhu").
industry("Juniper_Networks","Networking_hardware").
keyPerson("Juniper_Networks","Scott_Kriens").
keyPerson("Juniper_Networks","Pradeep_Sindhu").
locationCity("Juniper_Networks","Sunnyvale,_California").
type("Juniper_Networks","Public_company").
birthPlace("Pradeep_Sindhu","Mumbai").
location("Sunnyvale,_California","Sunnyvale, California").
birthYear("Pradeep_Sindhu","1953").
almaMater("Pradeep_Sindhu","University_of_Hawaii").
almaMater("Pradeep_Sindhu","Indian_Institute_of_Technology,_Kanpur").
almaMater("Pradeep_Sindhu","Carnegie_Mellon_University").
almaMater("Scott_Kriens","California_State_University,_East_Bay").
country("Sunnyvale,_California","United_States").
employer("Pradeep_Sindhu","Juniper_Networks").
type("Sunnyvale,_California","Charter_city").
birthPlace("Anant_Gupta","Delhi").
birthPlace("Anant_Gupta","India").
birthYear("Anant_Gupta","1965").
almaMater("Anant_Gupta","University_of_Liverpool").
almaMater("Anant_Gupta","University_of_Bombay").
occupation("Anant_Gupta","CEO").
occupation("Anant_Gupta","Anant_Gupta__1").
country("Delhi","India").
country("University_of_Liverpool","England").
type("Delhi","Union_territory").
type("Delhi","List_of_cities_in_India_by_population").
type("University_of_Liverpool","Public_university").
