"Pierre,_South_Dakota",South_Dakota
"Boise,_Idaho",Idaho_Territory
"Cheyenne,_Wyoming",Wyoming
"Cheyenne,_Wyoming",Wyoming_Territory
"Lecompton,_Kansas",Kansas_Territory
"Tucson,_Arizona",Arizona_Territory
"Virginia_City,_Montana",Montana_Territory
"Jefferson_City,_Missouri",Missouri
"Corvallis,_Oregon",Oregon_Territory
"Yankton,_South_Dakota",Dakota_Territory
"Saint_Paul,_Minnesota",Minnesota
"Fillmore,_Utah",Utah_Territory
"Guthrie,_Oklahoma",Oklahoma_Territory
"Oregon_City,_Oregon",Oregon_Territory
"Boise,_Idaho",Idaho
"Lincoln,_Nebraska",Nebraska
Colorado_Territory,"Golden,_Colorado"
"Helena,_Montana",Montana
"Salem,_Oregon",Oregon
"Madison,_Wisconsin",Wisconsin
"Carson_City,_Nevada",Nevada
"Bismarck,_North_Dakota",Dakota_Territory
"Juneau,_Alaska",Alaska
"Lewiston,_Idaho",Idaho_Territory
"Topeka,_Kansas",Kansas
"Salem,_Oregon",Oregon_Territory
"Prescott,_Arizona",Arizona_Territory
"Bismarck,_North_Dakota",North_Dakota
"Montpelier,_Vermont",Vermont
"Helena,_Montana",Montana_Territory
"Springfield,_Illinois",Illinois
"Carson_City,_Nevada",Nevada_Territory
"Little_Rock,_Arkansas",Arkansas
"Bannack,_Montana",Montana_Territory
"Columbus,_Ohio",Ohio
