"Pierre,_South_Dakota",South_Dakota
"Monterey,_California",Alta_California
"Tucson,_Arizona",Arizona_Territory
"Harrisburg,_Pennsylvania",Pennsylvania
"Jefferson_City,_Missouri",Missouri
"Corvallis,_Oregon",Oregon_Territory
"Yankton,_South_Dakota",Dakota_Territory
Santo_Domingo,Dominican_Republic
"Sacramento,_California",California
Indianapolis,Indiana
"Montgomery,_Alabama",Alabama
"Saint_Paul,_Minnesota",Minnesota
"Salem,_Oregon",Oregon
"Charleston,_West_Virginia",West_Virginia
"San_Juan,_Puerto_Rico",Puerto_Rico
"Oregon_City,_Oregon",Oregon_Territory
Oklahoma_City,Oklahoma
"Olympia,_Washington",Washington_(state)
"Providence,_Rhode_Island",Rhode_Island
"Boise,_Idaho",Idaho
"Lincoln,_Nebraska",Nebraska
Atlanta,Georgia_(U.S._state)
Mexico_City,Mexico
"Helena,_Montana",Montana
"Phoenix,_Arizona",Arizona_Territory
"Jackson,_Mississippi",Mississippi
"Olympia,_Washington",Washington_Territory
Denver,Colorado
"Carson_City,_Nevada",Nevada
"Richmond,_Virginia",Virginia
"Trenton,_New_Jersey",New_Jersey
"Bismarck,_North_Dakota",Dakota_Territory
"Madison,_Wisconsin",Wisconsin
"Juneau,_Alaska",Alaska
"Columbia,_South_Carolina",South_Carolina
"Prescott,_Arizona",Arizona_Territory
Honolulu,Hawaii
"Bismarck,_North_Dakota",North_Dakota
"Nashville,_Tennessee",Tennessee
"Lansing,_Michigan",Michigan
"Raleigh,_North_Carolina",North_Carolina
Panama_City,Panama
"Carson_City,_Nevada",Nevada_Territory
"Little_Rock,_Arkansas",Arkansas
"Baton_Rouge,_Louisiana",Louisiana
"Austin,_Texas",Texas
"Phoenix,_Arizona",Arizona
"Columbus,_Ohio",Ohio
"Hartford,_Connecticut",Connecticut
Salt_Lake_City,Utah
