43687,656889
55712,1149039
51959,1026
35737,383261
492,53
18795,9763
10387,221
24581,11631
17821,45607
524767,129071
75563,8981
171232,26617
101283,383261
134995,3248
4612,30010
43687,10444
13328,27965
7660,4659
4564,2817
29856,29857
99158,3140
3324,10457
35900,13794
12835,348
47536,4533
69292,421161
17930,224
4207,4457
109180,12060
1345,1210
160866,656889
93212,157082
15742,22561
69292,20108
10439,8819
10662,6092
49170,1508
29856,465283
3324,784802
8728,8729
97454,20285
35900,1984685
97,98
1828,106
4321,3215
8425,1251
1480,3022
30347,11629
