Mexico_City,Mexico
"Olympia,_Washington",Washington_(state)
"Boise,_Idaho",Idaho_Territory
"Raleigh,_North_Carolina",North_Carolina
"Harrisburg,_Pennsylvania",Pennsylvania
"Jefferson_City,_Missouri",Missouri
"Sacramento,_California",California
Indianapolis,Indiana
"Montgomery,_Alabama",Alabama
"Concord,_New_Hampshire",New_Hampshire
"Saint_Paul,_Minnesota",Minnesota
"Charleston,_West_Virginia",West_Virginia
Canberra,Australia
"Guthrie,_Oklahoma",Oklahoma_Territory
"San_Juan,_Puerto_Rico",Puerto_Rico
"Annapolis,_Maryland",Maryland
Havana,Cuba
"Boise,_Idaho",Idaho
"Lincoln,_Nebraska",Nebraska
Atlanta,Georgia_(U.S._state)
Guatemala_City,Guatemala
"Helena,_Montana",Montana
"Phoenix,_Arizona",Arizona_Territory
"Jackson,_Mississippi",Mississippi
"Salem,_Oregon",Oregon
Denver,Colorado
"Carson_City,_Nevada",Nevada
"Richmond,_Virginia",Virginia
"Bismarck,_North_Dakota",Dakota_Territory
"Madison,_Wisconsin",Wisconsin
Oklahoma_City,Oklahoma
"Juneau,_Alaska",Alaska
Ottawa,Canada
Salt_Lake_City,State_of_Deseret
"Monterey,_California",Alta_California
"Columbia,_South_Carolina",South_Carolina
"Prescott,_Arizona",Arizona_Territory
"Dover,_Delaware",Delaware
"Bismarck,_North_Dakota",North_Dakota
Honolulu,Hawaii
"Nashville,_Tennessee",Tennessee
"Lansing,_Michigan",Michigan
Denver,Colorado_Territory
Panama_City,Panama
"Carson_City,_Nevada",Nevada_Territory
"Baton_Rouge,_Louisiana",Louisiana
"Austin,_Texas",Texas
"Phoenix,_Arizona",Arizona
"Columbus,_Ohio",Ohio
"Hartford,_Connecticut",Connecticut
Salt_Lake_City,Utah
